Journal_Id,Year,Authors,Title,DOI,Link1,Link2,Keyword
5086,2017,"Dijkstra, Hylke",Changes to the editorial board,10.1080/13523260.2017.1290470 ,https://sci-hub.se/10.1080/13523260.2017.1290470,https://booksc.org/s/?q=10.1080/13523260.2017.1290470,editorial board
5086,2018,"Dijkstra, Hylke",Changes to the Editorial Board,10.1080/13523260.2017.1408351 ,https://sci-hub.se/10.1080/13523260.2017.1408351,https://booksc.org/s/?q=10.1080/13523260.2017.1408351,editorial board
5086,2019,"Dijkstra, Hylke",Changes to the editorial board,10.1080/13523260.2018.1540315 ,https://sci-hub.se/10.1080/13523260.2018.1540315,https://booksc.org/s/?q=10.1080/13523260.2018.1540315,editorial board
5086,2020,"Dijkstra, Hylke",Changes to the editorial board,10.1080/13523260.2020.1683994 ,https://sci-hub.se/10.1080/13523260.2020.1683994,https://booksc.org/s/?q=10.1080/13523260.2020.1683994,editorial board
5086,2021,"Dijkstra, Hylke",Changes to the editorial board,10.1080/13523260.2020.1849961 ,https://sci-hub.se/10.1080/13523260.2020.1849961,https://booksc.org/s/?q=10.1080/13523260.2020.1849961,editorial board
5165,2017,,Issue Information,10.1002/capr.12104 ,https://sci-hub.se/10.1002/capr.12104,https://booksc.org/s/?q=10.1002/capr.12104,issue information
5165,2018,,Issue Information,10.1002/capr.12144 ,https://sci-hub.se/10.1002/capr.12144,https://booksc.org/s/?q=10.1002/capr.12144,issue information
5165,2019,,Issue Information,10.1002/capr.12180 ,https://sci-hub.se/10.1002/capr.12180,https://booksc.org/s/?q=10.1002/capr.12180,issue information
5165,2020,,Issue Information,10.1002/capr.12237 ,https://sci-hub.se/10.1002/capr.12237,https://booksc.org/s/?q=10.1002/capr.12237,issue information
5245,2017,,End of Volume Editorial Board,10.1080/10408436.2017.1398006 ,https://sci-hub.se/10.1080/10408436.2017.1398006,https://booksc.org/s/?q=10.1080/10408436.2017.1398006,editorial board
5245,2018,,Editorial Board: EoV,10.1080/10408436.2018.1481264 ,https://sci-hub.se/10.1080/10408436.2018.1481264,https://booksc.org/s/?q=10.1080/10408436.2018.1481264,editorial board
5564,2020,,Issue Information,10.1002/curj.24 ,https://sci-hub.se/10.1002/curj.24,https://booksc.org/s/?q=10.1002/curj.24,issue information
5967,2017,,Editorial Board,10.1080/21563306.2017.11824264 ,https://sci-hub.se/10.1080/21563306.2017.11824264,https://booksc.org/s/?q=10.1080/21563306.2017.11824264,editorial board
5967,2018,,Editorial Board,10.1080/21563306.2018.11969261 ,https://sci-hub.se/10.1080/21563306.2018.11969261,https://booksc.org/s/?q=10.1080/21563306.2018.11969261,editorial board
5967,2019,,Editorial Board,10.1080/21563306.2019.12054393 ,https://sci-hub.se/10.1080/21563306.2019.12054393,https://booksc.org/s/?q=10.1080/21563306.2019.12054393,editorial board
6219,2018,,Editorial Board EOV,10.1080/07474938.2018.1468304 ,https://sci-hub.se/10.1080/07474938.2018.1468304,https://booksc.org/s/?q=10.1080/07474938.2018.1468304,editorial board
6603,2017,,Editorial Board,10.1080/01998595.2017.11810156 ,https://sci-hub.se/10.1080/01998595.2017.11810156,https://booksc.org/s/?q=10.1080/01998595.2017.11810156,editorial board
6603,2018,,Editorial Board,10.1080/01998595.2018.11950813 ,https://sci-hub.se/10.1080/01998595.2018.11950813,https://booksc.org/s/?q=10.1080/01998595.2018.11950813,editorial board
6603,2019,,Editorial Board,10.1080/01998595.2019.12043333 ,https://sci-hub.se/10.1080/01998595.2019.12043333,https://booksc.org/s/?q=10.1080/01998595.2019.12043333,editorial board
6928,2018,,EOV Editorial Board,10.1080/10508422.2018.1530330 ,https://sci-hub.se/10.1080/10508422.2018.1530330,https://booksc.org/s/?q=10.1080/10508422.2018.1530330,editorial board
7008,2017,,"Thank you to Associate Editors, Editorial Board Members, Ad hoc Associate Editors, Guest Editors and Reviewers 2016",10.1080/09638180.2017.1295584 ,https://sci-hub.se/10.1080/09638180.2017.1295584,https://booksc.org/s/?q=10.1080/09638180.2017.1295584,editorial board
7008,2018,,"Thank you to Associate Editors, Editorial Board Members, Ad hoc Associate Editors, Guest Editors and Reviewers 2017",10.1080/09638180.2018.1431001 ,https://sci-hub.se/10.1080/09638180.2018.1431001,https://booksc.org/s/?q=10.1080/09638180.2018.1431001,editorial board
7008,2019,,"Thank you to Associate Editors, Editorial Board Members, Ad-hoc Associate Editors, Guest Editors and Reviewers 2018",10.1080/09638180.2019.1573598 ,https://sci-hub.se/10.1080/09638180.2019.1573598,https://booksc.org/s/?q=10.1080/09638180.2019.1573598,editorial board
7121,2017,"Klemenčič, Manja",Introducing a new book reviews editor and changes to the Editorial Board,10.1080/21568235.2017.1277604 ,https://sci-hub.se/10.1080/21568235.2017.1277604,https://booksc.org/s/?q=10.1080/21568235.2017.1277604,editorial board
7121,2019,"Klemenčič, Manja",Editorial announcement: New Associate Editors and Editorial Board changes,10.1080/21568235.2019.1570672 ,https://sci-hub.se/10.1080/21568235.2019.1570672,https://booksc.org/s/?q=10.1080/21568235.2019.1570672,editorial board
7378,2018,,EOV Editorial Board,10.1080/10586458.2018.1500849 ,https://sci-hub.se/10.1080/10586458.2018.1500849,https://booksc.org/s/?q=10.1080/10586458.2018.1500849,editorial board
7612,2018,,Issue Information,10.1002/fsh.10053 ,https://sci-hub.se/10.1002/fsh.10053,https://booksc.org/s/?q=10.1002/fsh.10053,issue information
7612,2019,,Issue Information,10.1002/fsh.10222 ,https://sci-hub.se/10.1002/fsh.10222,https://booksc.org/s/?q=10.1002/fsh.10222,issue information
7612,2020,,Issue Information,10.1002/fsh.10293 ,https://sci-hub.se/10.1002/fsh.10293,https://booksc.org/s/?q=10.1002/fsh.10293,issue information
7710,2017,,EOV Editorial Board,10.1080/87559129.2017.1290966 ,https://sci-hub.se/10.1080/87559129.2017.1290966,https://booksc.org/s/?q=10.1080/87559129.2017.1290966,editorial board
7710,2018,,EOV Editorial Board,10.1080/87559129.2018.1509473 ,https://sci-hub.se/10.1080/87559129.2018.1509473,https://booksc.org/s/?q=10.1080/87559129.2018.1509473,editorial board
7958,2020,,From the editorial board,10.1080/1536383x.2019.1672300 ,https://sci-hub.se/10.1080/1536383x.2019.1672300,https://booksc.org/s/?q=10.1080/1536383x.2019.1672300,editorial board
8143,2017,,Editorial Board,10.1080/10106049.2017.1384342 ,https://sci-hub.se/10.1080/10106049.2017.1384342,https://booksc.org/s/?q=10.1080/10106049.2017.1384342,editorial board
8273,2019,,Editorial Board,10.1080/02701960.2019.1572700 ,https://sci-hub.se/10.1080/02701960.2019.1572700,https://booksc.org/s/?q=10.1080/02701960.2019.1572700,editorial board
9671,2017,,Editorial Board,10.1080/17501229.2017.1374636 ,https://sci-hub.se/10.1080/17501229.2017.1374636,https://booksc.org/s/?q=10.1080/17501229.2017.1374636,editorial board
11025,2018,,Issue Information,10.1002/ijop.12453 ,https://sci-hub.se/10.1002/ijop.12453,https://booksc.org/s/?q=10.1002/ijop.12453,issue information
11025,2019,,Issue Information,10.1002/ijop.12505 ,https://sci-hub.se/10.1002/ijop.12505,https://booksc.org/s/?q=10.1002/ijop.12505,issue information
13260,2017,,Editorial Board,10.1080/09544828.2017.1268753 ,https://sci-hub.se/10.1080/09544828.2017.1268753,https://booksc.org/s/?q=10.1080/09544828.2017.1268753,editorial board
16246,2019,,Editorial Board,10.1080/00233609.2019.1597588 ,https://sci-hub.se/10.1080/00233609.2019.1597588,https://booksc.org/s/?q=10.1080/00233609.2019.1597588,editorial board
16246,2020,,Editorial Board,10.1080/00233609.2020.1775371 ,https://sci-hub.se/10.1080/00233609.2020.1775371,https://booksc.org/s/?q=10.1080/00233609.2020.1775371,editorial board
16400,2018,"Wagner, Ken",Notice of changes to the Editorial Board,10.1080/10402381.2018.1416854 ,https://sci-hub.se/10.1080/10402381.2018.1416854,https://booksc.org/s/?q=10.1080/10402381.2018.1416854,editorial board
16400,2020,"Paterson, Andrew; Smith, Andrea ",Notice of change to the Editorial Board,10.1080/10402381.2020.1727705 ,https://sci-hub.se/10.1080/10402381.2020.1727705,https://booksc.org/s/?q=10.1080/10402381.2020.1727705,editorial board
17096,2017,,Editorial Board EOV,10.1080/15397734.2017.1396010 ,https://sci-hub.se/10.1080/15397734.2017.1396010,https://booksc.org/s/?q=10.1080/15397734.2017.1396010,editorial board
18351,2017,,Editorial Board,10.1080/10589759.2017.1373938 ,https://sci-hub.se/10.1080/10589759.2017.1373938,https://booksc.org/s/?q=10.1080/10589759.2017.1373938,editorial board
19953,2017,,Editorial Board EOV,10.1080/10826068.2017.1410332 ,https://sci-hub.se/10.1080/10826068.2017.1410332,https://booksc.org/s/?q=10.1080/10826068.2017.1410332,editorial board
21076,2018,"Amariglio, Jack","Memorial for Stephen Resnick (1938–2013): Remarks by Jack Amariglio on Behalf of the Editorial Board of
              Rethinking Marxism",10.1080/08935696.2018.1456764 ,https://sci-hub.se/10.1080/08935696.2018.1456764,https://booksc.org/s/?q=10.1080/08935696.2018.1456764,editorial board
21819,2017,,Editorial Board,10.1080/00313831.2017.1371430 ,https://sci-hub.se/10.1080/00313831.2017.1371430,https://booksc.org/s/?q=10.1080/00313831.2017.1371430,editorial board
22107,2018,,EOV Editorial board,10.1080/15422119.2018.1525664 ,https://sci-hub.se/10.1080/15422119.2018.1525664,https://booksc.org/s/?q=10.1080/15422119.2018.1525664,editorial board
23802,2017,,EOV Editorial board,10.1080/00218464.2017.1412882 ,https://sci-hub.se/10.1080/00218464.2017.1412882,https://booksc.org/s/?q=10.1080/00218464.2017.1412882,editorial board
47782,2017,,Editorial Board,10.1080/17480272.2017.1373485 ,https://sci-hub.se/10.1080/17480272.2017.1373485,https://booksc.org/s/?q=10.1080/17480272.2017.1373485,editorial board
