Journal,Journal_Id,Publisher,Link,Link_Articles,Number_Pages,links_2017,links_2018,links_2019,links_2020,links_2021
Acta Mathematica,276,Springer Netherlands,/scimag/journals/276,/scimag/?journal=276&page=1,85,/scimag/?journal=276&year=2017&volume=219&issue=1,,,,
Acta Mechanica,283,Springer Vienna,/scimag/journals/283,/scimag/?journal=283&page=1,265,/scimag/?journal=283&year=2017&volume=228&issue=1,/scimag/?journal=283&year=2018&volume=229&issue=1,/scimag/?journal=283&year=2019&volume=230&issue=1,/scimag/?journal=283&year=2020&volume=231&issue=2,
Acta Neurochirurgica,302,Springer Vienna,/scimag/journals/302,/scimag/?journal=302&page=1,473,/scimag/?journal=302&year=2017&volume=159&issue=1,/scimag/?journal=302&year=2018&volume=160&issue=1,/scimag/?journal=302&year=2019&volume=161&issue=1,/scimag/?journal=302&year=2020&volume=162&issue=2,/scimag/?journal=302&year=2021&volume=163&issue=1
Acta Neuropathologica,305,Springer-Verlag,/scimag/journals/305,/scimag/?journal=305&page=1,352,/scimag/?journal=305&year=2017&volume=133&issue=1,/scimag/?journal=305&year=2018&volume=135&issue=4,/scimag/?journal=305&year=2019&volume=137&issue=5,/scimag/?journal=305&year=2020&volume=139&issue=1,
Acta Physica Academiae Scientiarum Hungaricae,346,Springer-Verlag,/scimag/journals/346,/scimag/?journal=346&page=1,92,,,,,
Acta Physiologiae Plantarum,355,Springer-Verlag,/scimag/journals/355,/scimag/?journal=355&page=1,151,/scimag/?journal=355&year=2017&volume=39&issue=1,/scimag/?journal=355&year=2018&volume=40&issue=1,/scimag/?journal=355&year=2019&volume=41&issue=1,/scimag/?journal=355&year=2020&volume=42&issue=1,
Acta Theriologica,383,Springer-Verlag,/scimag/journals/383,/scimag/?journal=383&page=1,32,/scimag/?journal=383&year=2017&volume=62&issue=1,,,,
ADHD Attention Deficit and Hyperactivity Disorders,434,Springer Vienna,/scimag/journals/434,/scimag/?journal=434&page=1,13,/scimag/?journal=434&year=2017&volume=9&issue=1%20Supplement,/scimag/?journal=434&year=2018&volume=10&issue=1,/scimag/?journal=434&year=2019&volume=11&issue=S1,,
Administration and Policy in Mental Health and Mental Health Services Research,439,Springer US,/scimag/journals/439,/scimag/?journal=439&page=1,92,/scimag/?journal=439&year=2017&volume=44&issue=1,/scimag/?journal=439&year=2018&volume=45&issue=2,/scimag/?journal=439&year=2019&volume=46&issue=1,/scimag/?journal=439&year=2020&volume=47&issue=5,
Adsorption,451,Springer,/scimag/journals/451,/scimag/?journal=451&page=1,74,/scimag/?journal=451&year=2017&volume=23&issue=1,/scimag/?journal=451&year=2018&volume=24&issue=4,/scimag/?journal=451&year=2019&volume=25&issue=1,/scimag/?journal=451&year=2020&volume=26&issue=4,
Advanced Performance Materials,475,Springer,/scimag/journals/475,/scimag/?journal=475&page=1,7,,,,,
Advances in Applied Clifford Algebras,494,Springer,/scimag/journals/494,/scimag/?journal=494&page=1,53,/scimag/?journal=494&year=2017&volume=27&issue=1,/scimag/?journal=494&year=2018&volume=28&issue=1,/scimag/?journal=494&year=2019&volume=29&issue=1,/scimag/?journal=494&year=2020&volume=30&issue=1,/scimag/?journal=494&year=2021&volume=31&issue=1
Advances in Computational Mathematics,529,Springer,/scimag/journals/529,/scimag/?journal=529&page=1,55,/scimag/?journal=529&year=2017&volume=43&issue=1,/scimag/?journal=529&year=2018&volume=44&issue=6,/scimag/?journal=529&year=2019&volume=45&issue=1,/scimag/?journal=529&year=2020&volume=46&issue=1,
Advances in Contraception,532,Springer,/scimag/journals/532,/scimag/?journal=532&page=1,28,,,,,
Advances in Data Analysis and Classification,533,Springer-Verlag,/scimag/journals/533,/scimag/?journal=533&page=1,17,/scimag/?journal=533&year=2017&volume=11&issue=1,/scimag/?journal=533&year=2018&volume=12&issue=1,/scimag/?journal=533&year=2019&volume=13&issue=1,/scimag/?journal=533&year=2020&volume=14&issue=1,
Advances in Difference Equations,538,Springer International Publishing AG,/scimag/journals/538,/scimag/?journal=538&page=1,133,/scimag/?journal=538&year=2017&volume=2017&issue=1,/scimag/?journal=538&year=2018&volume=2018&issue=1,/scimag/?journal=538&year=2019&volume=2019&issue=1,/scimag/?journal=538&year=2020&volume=2020&issue=1,
Advances in Health Sciences Education,560,Springer Netherlands,/scimag/journals/560,/scimag/?journal=560&page=1,53,/scimag/?journal=560&year=2017&volume=22&issue=1,/scimag/?journal=560&year=2018&volume=23&issue=1,/scimag/?journal=560&year=2019&volume=24&issue=1,/scimag/?journal=560&year=2020&volume=25&issue=1,
Advances in Therapy,654,Springer Healthcare Communications,/scimag/journals/654,/scimag/?journal=654&page=1,100,/scimag/?journal=654&year=2017&volume=34&issue=1,/scimag/?journal=654&year=2018&volume=35&issue=5,/scimag/?journal=654&year=2019&volume=36&issue=1,/scimag/?journal=654&year=2020&volume=37&issue=S1,
Aequationes Mathematicae,665,Springer,/scimag/journals/665,/scimag/?journal=665&page=1,137,/scimag/?journal=665&year=2017&volume=91&issue=1,/scimag/?journal=665&year=2018&volume=92&issue=1,/scimag/?journal=665&year=2019&volume=93&issue=1,/scimag/?journal=665&year=2020&volume=94&issue=2,
Aerobiologia,666,Springer Netherlands,/scimag/journals/666,/scimag/?journal=666&page=1,61,/scimag/?journal=666&year=2017&volume=33&issue=1,/scimag/?journal=666&year=2018&volume=34&issue=1,/scimag/?journal=666&year=2019&volume=35&issue=1,/scimag/?journal=666&year=2020&volume=36&issue=1,
Aesthetic Plastic Surgery,672,Springer,/scimag/journals/672,/scimag/?journal=672&page=1,211,/scimag/?journal=672&year=2017&volume=41&issue=1,/scimag/?journal=672&year=2018&volume=42&issue=1,/scimag/?journal=672&year=2019&volume=43&issue=1,/scimag/?journal=672&year=2020&volume=44&issue=2,
African Archaeological Review,693,Springer US,/scimag/journals/693,/scimag/?journal=693&page=1,47,/scimag/?journal=693&year=2017&volume=34&issue=1,/scimag/?journal=693&year=2018&volume=35&issue=1,/scimag/?journal=693&year=2019&volume=36&issue=1,/scimag/?journal=693&year=2020&volume=37&issue=1,
Afrika Matematika,777,Springer,/scimag/journals/777,/scimag/?journal=777&page=1,33,/scimag/?journal=777&year=2017&volume=28&issue=1-2,/scimag/?journal=777&year=2018&volume=29&issue=1-2,/scimag/?journal=777&year=2019&volume=30&issue=3-4,/scimag/?journal=777&year=2020&volume=&issue=,
AGE,784,Springer Netherlands,/scimag/journals/784,/scimag/?journal=784&page=1,69,/scimag/?journal=784&year=2017&volume=39&issue=1,/scimag/?journal=784&year=2018&volume=1&issue=1,/scimag/?journal=784&year=2019&volume=2&issue=1,,
Ageing International,787,Springer-Verlag,/scimag/journals/787,/scimag/?journal=787&page=1,60,/scimag/?journal=787&year=2017&volume=42&issue=1,/scimag/?journal=787&year=2018&volume=&issue=,/scimag/?journal=787&year=2019&volume=44&issue=1,/scimag/?journal=787&year=2020&volume=45&issue=2,
Agricultural Research,822,Springer-Verlag,/scimag/journals/822,/scimag/?journal=822&page=1,20,/scimag/?journal=822&year=2017&volume=6&issue=1,/scimag/?journal=822&year=2018&volume=7&issue=1,/scimag/?journal=822&year=2019&volume=&issue=,/scimag/?journal=822&year=2020&volume=&issue=,
Agriculture and Human Values,834,Springer,/scimag/journals/834,/scimag/?journal=834&page=1,87,/scimag/?journal=834&year=2017&volume=34&issue=1,/scimag/?journal=834&year=2018&volume=35&issue=2,/scimag/?journal=834&year=2019&volume=36&issue=1,/scimag/?journal=834&year=2020&volume=37&issue=2,
Agroforestry Systems,838,Springer,/scimag/journals/838,/scimag/?journal=838&page=1,129,/scimag/?journal=838&year=2017&volume=91&issue=1,/scimag/?journal=838&year=2018&volume=92&issue=4,/scimag/?journal=838&year=2019&volume=93&issue=1,/scimag/?journal=838&year=2020&volume=94&issue=2,/scimag/?journal=838&year=2021&volume=95&issue=
AI & Society,849,Springer,/scimag/journals/849,/scimag/?journal=849&page=1,67,/scimag/?journal=849&year=2017&volume=32&issue=1,/scimag/?journal=849&year=2018&volume=33&issue=1,/scimag/?journal=849&year=2019&volume=34&issue=2,/scimag/?journal=849&year=2020&volume=35&issue=3,/scimag/?journal=849&year=2021&volume=&issue=
AIDS and Behavior,854,Springer,/scimag/journals/854,/scimag/?journal=854&page=1,172,/scimag/?journal=854&year=2017&volume=21&issue=S2,/scimag/?journal=854&year=2018&volume=22&issue=S1,/scimag/?journal=854&year=2019&volume=23&issue=S3,/scimag/?journal=854&year=2020&volume=24&issue=1,
"Air Quality, Atmosphere & Health",877,Springer Netherlands,/scimag/journals/877,/scimag/?journal=877&page=1,37,/scimag/?journal=877&year=2017&volume=10&issue=1,/scimag/?journal=877&year=2018&volume=11&issue=1,/scimag/?journal=877&year=2019&volume=12&issue=1,/scimag/?journal=877&year=2020&volume=13&issue=2,
Algebra and Logic,923,Springer US,/scimag/journals/923,/scimag/?journal=923&page=1,96,/scimag/?journal=923&year=2017&volume=55&issue=6,/scimag/?journal=923&year=2018&volume=56&issue=6,/scimag/?journal=923&year=2019&volume=57&issue=6,/scimag/?journal=923&year=2020&volume=58&issue=6,
Algebra Universalis,925,Springer,/scimag/journals/925,/scimag/?journal=925&page=1,112,/scimag/?journal=925&year=2017&volume=77&issue=1,/scimag/?journal=925&year=2018&volume=79&issue=1,/scimag/?journal=925&year=2019&volume=80&issue=1,/scimag/?journal=925&year=2020&volume=81&issue=1,/scimag/?journal=925&year=2021&volume=82&issue=1
Algebras and Representation Theory,927,Springer Netherlands,/scimag/journals/927,/scimag/?journal=927&page=1,47,/scimag/?journal=927&year=2017&volume=20&issue=1,/scimag/?journal=927&year=2018&volume=21&issue=1,/scimag/?journal=927&year=2019&volume=22&issue=3,/scimag/?journal=927&year=2020&volume=&issue=,
Algorithmica,929,Springer,/scimag/journals/929,/scimag/?journal=929&page=1,121,/scimag/?journal=929&year=2017&volume=77&issue=1,/scimag/?journal=929&year=2018&volume=80&issue=3,/scimag/?journal=929&year=2019&volume=81&issue=1,/scimag/?journal=929&year=2020&volume=82&issue=2,
Allergo Journal,937,Springer,/scimag/journals/937,/scimag/?journal=937&page=1,196,/scimag/?journal=937&year=2017&volume=26&issue=1,/scimag/?journal=937&year=2018&volume=27&issue=1,/scimag/?journal=937&year=2019&volume=28&issue=1,/scimag/?journal=937&year=2020&volume=29&issue=1,
AMB Express,970,Springer-Verlag,/scimag/journals/970,/scimag/?journal=970&page=1,44,/scimag/?journal=970&year=2017&volume=7&issue=1,/scimag/?journal=970&year=2018&volume=8&issue=1,/scimag/?journal=970&year=2019&volume=9&issue=1,/scimag/?journal=970&year=2020&volume=10&issue=1,
American Journal of Community Psychology,1039,Springer US,/scimag/journals/1039,/scimag/?journal=1039&page=1,116,/scimag/?journal=1039&year=2017&volume=59&issue=1-2,/scimag/?journal=1039&year=2018&volume=61&issue=1-2,/scimag/?journal=1039&year=2019&volume=63&issue=1-2,/scimag/?journal=1039&year=2020&volume=65&issue=1-2,
American Journal of Criminal Justice,1043,Springer-Verlag,/scimag/journals/1043,/scimag/?journal=1043&page=1,45,/scimag/?journal=1043&year=2017&volume=42&issue=1,/scimag/?journal=1043&year=2018&volume=43&issue=1,/scimag/?journal=1043&year=2019&volume=44&issue=3,/scimag/?journal=1043&year=2020&volume=45&issue=1,
American Journal of Dance Therapy,1045,Springer,/scimag/journals/1045,/scimag/?journal=1045&page=1,28,/scimag/?journal=1045&year=2017&volume=39&issue=1,/scimag/?journal=1045&year=2018&volume=40&issue=1,/scimag/?journal=1045&year=2019&volume=41&issue=1,/scimag/?journal=1045&year=2020&volume=42&issue=1,
Amino Acids,1179,Springer,/scimag/journals/1179,/scimag/?journal=1179&page=1,176,/scimag/?journal=1179&year=2017&volume=49&issue=1,/scimag/?journal=1179&year=2018&volume=50&issue=1,/scimag/?journal=1179&year=2019&volume=51&issue=3,/scimag/?journal=1179&year=2020&volume=52&issue=1,
AMS Review,1182,Springer-Verlag,/scimag/journals/1182,/scimag/?journal=1182&page=1,8,/scimag/?journal=1182&year=2017&volume=7&issue=1-2,/scimag/?journal=1182&year=2018&volume=8&issue=1-2,/scimag/?journal=1182&year=2019&volume=9&issue=1-2,/scimag/?journal=1182&year=2020&volume=10&issue=1-2,
Analog Integrated Circuits and Signal Processing,1212,Springer,/scimag/journals/1212,/scimag/?journal=1212&page=1,160,/scimag/?journal=1212&year=2017&volume=90&issue=1,/scimag/?journal=1212&year=2018&volume=94&issue=1,/scimag/?journal=1212&year=2019&volume=98&issue=3,/scimag/?journal=1212&year=2020&volume=103&issue=1,
Analysis in Theory and Applications,1222,Springer,/scimag/journals/1222,/scimag/?journal=1222&page=1,35,,,,,
Analysis Mathematica,1223,Springer,/scimag/journals/1223,/scimag/?journal=1223&page=1,42,/scimag/?journal=1223&year=2017&volume=43&issue=1,/scimag/?journal=1223&year=2018&volume=44&issue=1,/scimag/?journal=1223&year=2019&volume=45&issue=2,/scimag/?journal=1223&year=2020&volume=46&issue=1,
Analytical and Bioanalytical Chemistry,1226,Springer,/scimag/journals/1226,/scimag/?journal=1226&page=1,4055,/scimag/?journal=1226&year=2017&volume=409&issue=1,/scimag/?journal=1226&year=2018&volume=410&issue=1,/scimag/?journal=1226&year=2019&volume=411&issue=1,/scimag/?journal=1226&year=2020&volume=412&issue=1,
Anatomical Science International,1246,Springer Japan,/scimag/journals/1246,/scimag/?journal=1246&page=1,34,/scimag/?journal=1246&year=2017&volume=92&issue=1,/scimag/?journal=1246&year=2018&volume=93&issue=4,/scimag/?journal=1246&year=2019&volume=94&issue=1,/scimag/?journal=1246&year=2020&volume=&issue=,
Anatomy and Embryology,1251,Springer,/scimag/journals/1251,/scimag/?journal=1251&page=1,319,/scimag/?journal=1251&year=2017&volume=222&issue=1,/scimag/?journal=1251&year=2018&volume=223&issue=1,/scimag/?journal=1251&year=2019&volume=224&issue=1,/scimag/?journal=1251&year=2020&volume=225&issue=2,
Andrologie,1262,Springer-Verlag,/scimag/journals/1262,/scimag/?journal=1262&page=1,52,/scimag/?journal=1262&year=2017&volume=27&issue=1,/scimag/?journal=1262&year=2018&volume=28&issue=1,/scimag/?journal=1262&year=2019&volume=29&issue=1,/scimag/?journal=1262&year=2020&volume=30&issue=1,
Angiogenesis,1279,Springer,/scimag/journals/1279,/scimag/?journal=1279&page=1,40,/scimag/?journal=1279&year=2017&volume=20&issue=1,/scimag/?journal=1279&year=2018&volume=&issue=,/scimag/?journal=1279&year=2019&volume=22&issue=2,/scimag/?journal=1279&year=2020&volume=&issue=,
Animal Cognition,1293,Springer-Verlag,/scimag/journals/1293,/scimag/?journal=1293&page=1,67,/scimag/?journal=1293&year=2017&volume=20&issue=1,/scimag/?journal=1293&year=2018&volume=21&issue=1,/scimag/?journal=1293&year=2019&volume=22&issue=2,/scimag/?journal=1293&year=2020&volume=23&issue=2,
Annales françaises de médecine d'urgence,1370,Springer-Verlag,/scimag/journals/1370,/scimag/?journal=1370&page=1,31,/scimag/?journal=1370&year=2017&volume=7&issue=1,,,,
Annales Henri Poincaré,1373,Springer,/scimag/journals/1373,/scimag/?journal=1373&page=1,58,/scimag/?journal=1373&year=2017&volume=18&issue=1,/scimag/?journal=1373&year=2018&volume=19&issue=1,/scimag/?journal=1373&year=2019&volume=20&issue=1,/scimag/?journal=1373&year=2020&volume=21&issue=3,
Annali di Matematica Pura ed Applicata (1923 -),1405,Springer,/scimag/journals/1405,/scimag/?journal=1405&page=1,219,/scimag/?journal=1405&year=2017&volume=196&issue=1,/scimag/?journal=1405&year=2018&volume=197&issue=2,/scimag/?journal=1405&year=2019&volume=198&issue=1,/scimag/?journal=1405&year=2020&volume=&issue=,
Annals of Behavioral Medicine,1420,Springer,/scimag/journals/1420,/scimag/?journal=1420&page=1,88,/scimag/?journal=1420&year=2017&volume=51&issue=1%20Supplement,/scimag/?journal=1420&year=2018&volume=52&issue=suppl_1,/scimag/?journal=1420&year=2019&volume=53&issue=Supplement_1,/scimag/?journal=1420&year=2020&volume=54&issue=4,
Annals of Biomedical Engineering,1421,Springer,/scimag/journals/1421,/scimag/?journal=1421&page=1,246,/scimag/?journal=1421&year=2017&volume=45&issue=1,/scimag/?journal=1421&year=2018&volume=46&issue=1,/scimag/?journal=1421&year=2019&volume=47&issue=1,/scimag/?journal=1421&year=2020&volume=48&issue=2,/scimag/?journal=1421&year=2021&volume=49&issue=1
Annals of Combinatorics,1430,Springer,/scimag/journals/1430,/scimag/?journal=1430&page=1,36,/scimag/?journal=1430&year=2017&volume=21&issue=1,/scimag/?journal=1430&year=2018&volume=22&issue=1,/scimag/?journal=1430&year=2019&volume=23&issue=1,/scimag/?journal=1430&year=2020&volume=24&issue=1,
Annals of Dyslexia,1434,Springer US,/scimag/journals/1434,/scimag/?journal=1434&page=1,47,/scimag/?journal=1434&year=2017&volume=67&issue=1,/scimag/?journal=1434&year=2018&volume=&issue=,/scimag/?journal=1434&year=2019&volume=69&issue=1,/scimag/?journal=1434&year=2020&volume=70&issue=1,
Annals of Finance,1437,Springer,/scimag/journals/1437,/scimag/?journal=1437&page=1,15,/scimag/?journal=1437&year=2017&volume=13&issue=1,/scimag/?journal=1437&year=2018&volume=14&issue=3,/scimag/?journal=1437&year=2019&volume=&issue=,/scimag/?journal=1437&year=2020&volume=16&issue=4,
Annals of Forest Science,1439,Springer-Verlag,/scimag/journals/1439,/scimag/?journal=1439&page=1,77,/scimag/?journal=1439&year=2017&volume=74&issue=1,/scimag/?journal=1439&year=2018&volume=75&issue=1,/scimag/?journal=1439&year=2019&volume=76&issue=1,/scimag/?journal=1439&year=2020&volume=77&issue=1,
Annals of Global Analysis and Geometry,1444,Springer,/scimag/journals/1444,/scimag/?journal=1444&page=1,56,/scimag/?journal=1444&year=2017&volume=51&issue=1,/scimag/?journal=1444&year=2018&volume=53&issue=2,/scimag/?journal=1444&year=2019&volume=55&issue=1,/scimag/?journal=1444&year=2020&volume=57&issue=2,
Annals of Hematology,1445,Springer,/scimag/journals/1445,/scimag/?journal=1445&page=1,427,/scimag/?journal=1445&year=2017&volume=96&issue=1,/scimag/?journal=1445&year=2018&volume=97&issue=2,/scimag/?journal=1445&year=2019&volume=98&issue=3,/scimag/?journal=1445&year=2020&volume=99&issue=1,/scimag/?journal=1445&year=2021&volume=100&issue=1
Annals of Mathematics and Artificial Intelligence,1458,Springer Netherlands,/scimag/journals/1458,/scimag/?journal=1458&page=1,58,/scimag/?journal=1458&year=2017&volume=79&issue=1-3,/scimag/?journal=1458&year=2018&volume=82&issue=4,/scimag/?journal=1458&year=2019&volume=85&issue=2-4,/scimag/?journal=1458&year=2020&volume=88&issue=4,/scimag/?journal=1458&year=2021&volume=89&issue=1-2
Annals of Microbiology,1461,Springer-Verlag,/scimag/journals/1461,/scimag/?journal=1461&page=1,81,/scimag/?journal=1461&year=2017&volume=67&issue=1,/scimag/?journal=1461&year=2018&volume=68&issue=1,/scimag/?journal=1461&year=2019&volume=69&issue=4,/scimag/?journal=1461&year=2020&volume=70&issue=1,
Annals of Nuclear Medicine,1467,Springer Japan,/scimag/journals/1467,/scimag/?journal=1467&page=1,115,/scimag/?journal=1467&year=2017&volume=31&issue=1,/scimag/?journal=1467&year=2018&volume=32&issue=1,/scimag/?journal=1467&year=2019&volume=33&issue=12,/scimag/?journal=1467&year=2020&volume=34&issue=1,
Annals of Operations Research,1471,Springer US,/scimag/journals/1471,/scimag/?journal=1471&page=1,250,/scimag/?journal=1471&year=2017&volume=248&issue=1-2,/scimag/?journal=1471&year=2018&volume=260&issue=1-2,/scimag/?journal=1471&year=2019&volume=272&issue=1-2,/scimag/?journal=1471&year=2020&volume=288&issue=2,
Annals of Ophthalmology,1472,Springer,/scimag/journals/1472,/scimag/?journal=1472&page=1,19,,,,,
Annals of Software Engineering,1488,Springer,/scimag/journals/1488,/scimag/?journal=1488&page=1,9,,,,,
Annals of Solid and Structural Mechanics,1489,Springer-Verlag,/scimag/journals/1489,/scimag/?journal=1489&page=1,3,/scimag/?journal=1489&year=2017&volume=9&issue=1-2,,/scimag/?journal=1489&year=2019&volume=&issue=,/scimag/?journal=1489&year=2020&volume=&issue=,
Annals of Surgical Oncology,1492,Springer,/scimag/journals/1492,/scimag/?journal=1492&page=1,494,/scimag/?journal=1492&year=2017&volume=24&issue=S3,/scimag/?journal=1492&year=2018&volume=25&issue=S2,/scimag/?journal=1492&year=2019&volume=26&issue=S2,/scimag/?journal=1492&year=2020&volume=27&issue=S3,/scimag/?journal=1492&year=2021&volume=28&issue=1
annals of telecommunications - annales des télécommunications,1493,Springer-Verlag,/scimag/journals/1493,/scimag/?journal=1493&page=1,196,/scimag/?journal=1493&year=2017&volume=72&issue=1-2,/scimag/?journal=1493&year=2018&volume=73&issue=1-2,/scimag/?journal=1493&year=2019&volume=74&issue=1-2,/scimag/?journal=1493&year=2020&volume=75&issue=7-8,
Annals of the Institute of Statistical Mathematics,1502,Springer Japan,/scimag/journals/1502,/scimag/?journal=1502&page=1,126,/scimag/?journal=1502&year=2017&volume=69&issue=1,/scimag/?journal=1502&year=2018&volume=70&issue=1,/scimag/?journal=1502&year=2019&volume=71&issue=5,/scimag/?journal=1502&year=2020&volume=&issue=,
Annals of Vascular Surgery,1518,Springer,/scimag/journals/1518,/scimag/?journal=1518&page=1,367,/scimag/?journal=1518&year=2017&volume=38&issue=,/scimag/?journal=1518&year=2018&volume=46&issue=,/scimag/?journal=1518&year=2019&volume=54&issue=,/scimag/?journal=1518&year=2020&volume=62&issue=,/scimag/?journal=1518&year=2021&volume=70&issue=
Antonie van Leeuwenhoek,1654,Springer Netherlands,/scimag/journals/1654,/scimag/?journal=1654&page=1,269,/scimag/?journal=1654&year=2017&volume=110&issue=1,/scimag/?journal=1654&year=2018&volume=111&issue=2,/scimag/?journal=1654&year=2019&volume=112&issue=2,/scimag/?journal=1654&year=2020&volume=113&issue=3,
Anzeiger für Schädlingskunde,1667,Springer,/scimag/journals/1667,/scimag/?journal=1667&page=1,308,/scimag/?journal=1667&year=2017&volume=90&issue=1,/scimag/?journal=1667&year=2018&volume=91&issue=2,/scimag/?journal=1667&year=2019&volume=92&issue=3,/scimag/?journal=1667&year=2020&volume=93&issue=2,
Apidologie,1676,Springer-Verlag,/scimag/journals/1676,/scimag/?journal=1676&page=1,83,/scimag/?journal=1676&year=2017&volume=48&issue=1,/scimag/?journal=1676&year=2018&volume=49&issue=1,/scimag/?journal=1676&year=2019&volume=50&issue=2,/scimag/?journal=1676&year=2020&volume=51&issue=4,
Apoptosis,1681,Springer,/scimag/journals/1681,/scimag/?journal=1681&page=1,101,/scimag/?journal=1681&year=2017&volume=22&issue=1,/scimag/?journal=1681&year=2018&volume=23&issue=5-6,/scimag/?journal=1681&year=2019&volume=24&issue=11-12,/scimag/?journal=1681&year=2020&volume=25&issue=3-4,
"Applicable Algebra in Engineering, Communication and Computing",1684,Springer,/scimag/journals/1684,/scimag/?journal=1684&page=1,35,/scimag/?journal=1684&year=2017&volume=28&issue=1,/scimag/?journal=1684&year=2018&volume=&issue=,/scimag/?journal=1684&year=2019&volume=30&issue=1,/scimag/?journal=1684&year=2020&volume=31&issue=3-4,
Applications of Mathematics,1688,Springer-Verlag,/scimag/journals/1688,/scimag/?journal=1688&page=1,33,/scimag/?journal=1688&year=2017&volume=62&issue=1,/scimag/?journal=1688&year=2018&volume=63&issue=1,/scimag/?journal=1688&year=2019&volume=64&issue=1,/scimag/?journal=1688&year=2020&volume=65&issue=1,
Applied Biochemistry and Biotechnology,1700,Springer-Verlag,/scimag/journals/1700,/scimag/?journal=1700&page=1,366,/scimag/?journal=1700&year=2017&volume=181&issue=1,/scimag/?journal=1700&year=2018&volume=&issue=,/scimag/?journal=1700&year=2019&volume=189&issue=2,/scimag/?journal=1700&year=2020&volume=&issue=,
Applied Categorical Structures,1707,Springer,/scimag/journals/1707,/scimag/?journal=1707&page=1,40,/scimag/?journal=1707&year=2017&volume=25&issue=1,/scimag/?journal=1707&year=2018&volume=26&issue=5,/scimag/?journal=1707&year=2019&volume=27&issue=3,/scimag/?journal=1707&year=2020&volume=&issue=,
Applied Composite Materials,1711,Springer Netherlands,/scimag/journals/1711,/scimag/?journal=1711&page=1,48,/scimag/?journal=1711&year=2017&volume=24&issue=1,/scimag/?journal=1711&year=2018&volume=25&issue=4,/scimag/?journal=1711&year=2019&volume=26&issue=1,/scimag/?journal=1711&year=2020&volume=27&issue=1-2,
Applied Entomology and Zoology,1721,Springer Japan,/scimag/journals/1721,/scimag/?journal=1721&page=1,102,/scimag/?journal=1721&year=2017&volume=52&issue=1,/scimag/?journal=1721&year=2018&volume=53&issue=1,/scimag/?journal=1721&year=2019&volume=54&issue=1,/scimag/?journal=1721&year=2020&volume=55&issue=2,
Applied Geomatics,1729,Springer-Verlag,/scimag/journals/1729,/scimag/?journal=1729&page=1,14,/scimag/?journal=1729&year=2017&volume=9&issue=1,/scimag/?journal=1729&year=2018&volume=10&issue=1,/scimag/?journal=1729&year=2019&volume=&issue=,/scimag/?journal=1729&year=2020&volume=12&issue=S1,
