Journal,Journal_Id,Publisher,Link,Link_Articles,Number_Pages,links_2017,links_2018,links_2019,links_2020,links_2021
Acta Mechanica Solida Sinica,286,Elsevier Science,/scimag/journals/286,/scimag/?journal=286&page=1,36,/scimag/?journal=286&year=2017&volume=30&issue=1,/scimag/?journal=286&year=2018&volume=31&issue=1,/scimag/?journal=286&year=2019&volume=32&issue=1,/scimag/?journal=286&year=2020&volume=33&issue=5,
Acta Metallurgica,294,Elsevier Science,/scimag/journals/294,/scimag/?journal=294&page=1,299,,,,,
Acta Metallurgica et Materialia,295,Elsevier Science,/scimag/journals/295,/scimag/?journal=295&page=1,91,,,,,
Acta Metallurgica Sinica (English Letters),297,Elsevier Science,/scimag/journals/297,/scimag/?journal=297&page=1,59,/scimag/?journal=297&year=2017&volume=30&issue=1,/scimag/?journal=297&year=2018&volume=31&issue=2,/scimag/?journal=297&year=2019&volume=32&issue=1,/scimag/?journal=297&year=2020&volume=33&issue=1,
Acta Oecologica,312,Elsevier Science,/scimag/journals/312,/scimag/?journal=312&page=1,81,/scimag/?journal=312&year=2017&volume=78&issue=,/scimag/?journal=312&year=2018&volume=86&issue=,/scimag/?journal=312&year=2019&volume=94&issue=,/scimag/?journal=312&year=2020&volume=102&issue=,/scimag/?journal=312&year=2021&volume=110&issue=
Acta Otorrinolaringológica Española,327,Elsevier Science,/scimag/journals/327,/scimag/?journal=327&page=1,71,/scimag/?journal=327&year=2017&volume=68&issue=1,/scimag/?journal=327&year=2018&volume=&issue=,/scimag/?journal=327&year=2019&volume=70&issue=4,/scimag/?journal=327&year=2020&volume=71&issue=,
Acta Physico-Chimica Sinica,354,Elsevier Science,/scimag/journals/354,/scimag/?journal=354&page=1,11,/scimag/?journal=354&year=2017&volume=33&issue=1,,,,
Acta Psychologica,366,Elsevier Science,/scimag/journals/366,/scimag/?journal=366&page=1,242,/scimag/?journal=366&year=2017&volume=172&issue=,/scimag/?journal=366&year=2018&volume=182&issue=,/scimag/?journal=366&year=2019&volume=192&issue=,/scimag/?journal=366&year=2020&volume=202&issue=,/scimag/?journal=366&year=2021&volume=212&issue=
Acta Tropica,384,Elsevier Science,/scimag/journals/384,/scimag/?journal=384&page=1,234,/scimag/?journal=384&year=2017&volume=165&issue=,/scimag/?journal=384&year=2018&volume=177&issue=,/scimag/?journal=384&year=2019&volume=189&issue=,/scimag/?journal=384&year=2020&volume=201&issue=,/scimag/?journal=384&year=2021&volume=213&issue=
Actas Dermo-Sifiliográficas (Spanish Edition),395,Elsevier Science,/scimag/journals/395,/scimag/?journal=395&page=1,274,/scimag/?journal=395&year=2017&volume=108&issue=1,/scimag/?journal=395&year=2018&volume=109&issue=1,/scimag/?journal=395&year=2019&volume=110&issue=1,/scimag/?journal=395&year=2020&volume=111&issue=1,/scimag/?journal=395&year=2021&volume=112&issue=1
Actividad Dietética,408,Elsevier Science,/scimag/journals/408,/scimag/?journal=408&page=1,5,,,,,
Actualités Pharmaceutiques,411,Elsevier Science,/scimag/journals/411,/scimag/?journal=411&page=1,124,/scimag/?journal=411&year=2017&volume=56&issue=562,/scimag/?journal=411&year=2018&volume=57&issue=572,/scimag/?journal=411&year=2019&volume=58&issue=582,/scimag/?journal=411&year=2020&volume=59&issue=592,
Acute Pain,416,Elsevier Science,/scimag/journals/416,/scimag/?journal=416&page=1,25,,,,,
Ad Hoc Networks,417,Elsevier Science,/scimag/journals/417,/scimag/?journal=417&page=1,93,/scimag/?journal=417&year=2017&volume=54&issue=,/scimag/?journal=417&year=2018&volume=68&issue=,/scimag/?journal=417&year=2019&volume=82&issue=,/scimag/?journal=417&year=2020&volume=96&issue=,/scimag/?journal=417&year=2021&volume=110&issue=
Addictive Behaviors,427,Elsevier Science,/scimag/journals/427,/scimag/?journal=427&page=1,277,/scimag/?journal=427&year=2017&volume=64&issue=,/scimag/?journal=427&year=2018&volume=76&issue=,/scimag/?journal=427&year=2019&volume=88&issue=,/scimag/?journal=427&year=2020&volume=100&issue=,/scimag/?journal=427&year=2021&volume=112&issue=
Additives for Polymers,429,Elsevier Science,/scimag/journals/429,/scimag/?journal=429&page=1,370,/scimag/?journal=429&year=2017&volume=2017&issue=1,/scimag/?journal=429&year=2018&volume=2018&issue=1,/scimag/?journal=429&year=2019&volume=2019&issue=1-2,/scimag/?journal=429&year=2020&volume=2020&issue=1,
Adolescent Medicine Clinics,448,Elsevier Science,/scimag/journals/448,/scimag/?journal=448&page=1,4,,,,,
Advanced Cement Based Materials,456,Elsevier Science,/scimag/journals/456,/scimag/?journal=456&page=1,12,,,,,
Advanced Drug Delivery Reviews,460,Elsevier Science,/scimag/journals/460,/scimag/?journal=460&page=1,166,/scimag/?journal=460&year=2017&volume=108&issue=,/scimag/?journal=460&year=2018&volume=123&issue=,/scimag/?journal=460&year=2019&volume=138&issue=,/scimag/?journal=460&year=2020&volume=153&issue=,/scimag/?journal=460&year=2021&volume=169&issue=
Advanced Energy Conversion,461,Elsevier Science,/scimag/journals/461,/scimag/?journal=461&page=1,10,,,,,
Advanced Engineering Informatics,464,Elsevier Science,/scimag/journals/464,/scimag/?journal=464&page=1,48,/scimag/?journal=464&year=2017&volume=31&issue=,/scimag/?journal=464&year=2018&volume=35&issue=,/scimag/?journal=464&year=2019&volume=39&issue=,/scimag/?journal=464&year=2020&volume=43&issue=,/scimag/?journal=464&year=2021&volume=47&issue=
Advanced Powder Technology,476,Elsevier Science,/scimag/journals/476,/scimag/?journal=476&page=1,157,/scimag/?journal=476&year=2017&volume=28&issue=1,/scimag/?journal=476&year=2018&volume=29&issue=1,/scimag/?journal=476&year=2019&volume=30&issue=1,/scimag/?journal=476&year=2020&volume=31&issue=1,
Advances in Accounting,482,Elsevier Science,/scimag/journals/482,/scimag/?journal=482&page=1,24,/scimag/?journal=482&year=2017&volume=36&issue=,/scimag/?journal=482&year=2018&volume=40&issue=,/scimag/?journal=482&year=2019&volume=44&issue=,/scimag/?journal=482&year=2020&volume=48&issue=,/scimag/?journal=482&year=2021&volume=52&issue=
Advances in Anesthesia,489,Elsevier Science,/scimag/journals/489,/scimag/?journal=489&page=1,10,/scimag/?journal=489&year=2017&volume=35&issue=1,/scimag/?journal=489&year=2018&volume=36&issue=1,/scimag/?journal=489&year=2019&volume=37&issue=,/scimag/?journal=489&year=2020&volume=38&issue=,
Advances in Applied Mathematics,495,Elsevier Science,/scimag/journals/495,/scimag/?journal=495&page=1,88,/scimag/?journal=495&year=2017&volume=82&issue=,/scimag/?journal=495&year=2018&volume=92&issue=,/scimag/?journal=495&year=2019&volume=102&issue=,/scimag/?journal=495&year=2020&volume=112&issue=,/scimag/?journal=495&year=2021&volume=122&issue=
Advances in Behaviour Research and Therapy,504,Elsevier Science,/scimag/journals/504,/scimag/?journal=504&page=1,9,,,,,
Advances in Biophysics,508,Elsevier Science,/scimag/journals/508,/scimag/?journal=508&page=1,14,,,,,
Advances in Chronic Kidney Disease,521,Elsevier Science,/scimag/journals/521,/scimag/?journal=521&page=1,60,/scimag/?journal=521&year=2017&volume=24&issue=1,/scimag/?journal=521&year=2018&volume=25&issue=1,/scimag/?journal=521&year=2019&volume=26&issue=1,/scimag/?journal=521&year=2020&volume=27&issue=1,
Advances in Colloid and Interface Science,526,Elsevier Science,/scimag/journals/526,/scimag/?journal=526&page=1,115,/scimag/?journal=526&year=2017&volume=239&issue=,/scimag/?journal=526&year=2018&volume=251&issue=,/scimag/?journal=526&year=2019&volume=263&issue=,/scimag/?journal=526&year=2020&volume=275&issue=,/scimag/?journal=526&year=2021&volume=287&issue=
Advances in Dermatology,536,Elsevier Science,/scimag/journals/536,/scimag/?journal=536&page=1,3,,,,,
Advances in Engineering Software (Barking)(1978),546,Elsevier Science,/scimag/journals/546,/scimag/?journal=546&page=1,37,,,,,
Advances in Engineering Software (Thomson Reuters),545,Elsevier Science,/scimag/journals/545,/scimag/?journal=545&page=1,130,/scimag/?journal=545&year=2017&volume=103&issue=,/scimag/?journal=545&year=2018&volume=115&issue=,/scimag/?journal=545&year=2019&volume=127&issue=,/scimag/?journal=545&year=2020&volume=139&issue=,/scimag/?journal=545&year=2021&volume=151&issue=
Advances in Engineering Software and Workstations,547,Elsevier Science,/scimag/journals/547,/scimag/?journal=547&page=1,3,,,,,
Advances in Environmental Research,549,Elsevier Science,/scimag/journals/549,/scimag/?journal=549&page=1,12,,,,,
Advances in Enzyme Regulation,550,Elsevier Science,/scimag/journals/550,/scimag/?journal=550&page=1,63,,,,,
Advances in Free Radical Biology & Medicine,553,Elsevier Science,/scimag/journals/553,/scimag/?journal=553&page=1,4,,,,,
Advances in Immunology,566,Elsevier Science,/scimag/journals/566,/scimag/?journal=566&page=1,1,,,,,
Advances in International Accounting,571,Elsevier Science,/scimag/journals/571,/scimag/?journal=571&page=1,4,,,,,
Advances in Mathematics,584,Elsevier Science,/scimag/journals/584,/scimag/?journal=584&page=1,341,/scimag/?journal=584&year=2017&volume=304&issue=,/scimag/?journal=584&year=2018&volume=323&issue=,/scimag/?journal=584&year=2019&volume=341&issue=,/scimag/?journal=584&year=2020&volume=359&issue=,/scimag/?journal=584&year=2021&volume=376&issue=
Advances in Molecular and Cell Biology,597,Elsevier Science,/scimag/journals/597,/scimag/?journal=597&page=1,2,,,,,
Advances in Molecular Relaxation and Interaction Processes,599,Elsevier Science,/scimag/journals/599,/scimag/?journal=599&page=1,15,,,,,
Advances in Molecular Relaxation Processes,600,Elsevier Science,/scimag/journals/600,/scimag/?journal=600&page=1,9,,,,,
Advances in Neuroimmunology,605,Elsevier Science,/scimag/journals/605,/scimag/?journal=605&page=1,8,,,,,
Advances in Parasitology,618,Elsevier Science,/scimag/journals/618,/scimag/?journal=618&page=1,1,,,,,
Advances in Pediatrics,619,Elsevier Science,/scimag/journals/619,/scimag/?journal=619&page=1,13,/scimag/?journal=619&year=2017&volume=64&issue=1,/scimag/?journal=619&year=2018&volume=65&issue=1,/scimag/?journal=619&year=2019&volume=66&issue=,/scimag/?journal=619&year=2020&volume=67&issue=,
Advances in Renal Replacement Therapy,637,Elsevier Science,/scimag/journals/637,/scimag/?journal=637&page=1,20,,,,,
Advances in Small Animal Medicine and Surgery,643,Elsevier Science,/scimag/journals/643,/scimag/?journal=643&page=1,66,/scimag/?journal=643&year=2017&volume=30&issue=1,/scimag/?journal=643&year=2018&volume=31&issue=1,/scimag/?journal=643&year=2019&volume=32&issue=1,/scimag/?journal=643&year=2020&volume=33&issue=1,
Advances in Space Biology and Medicine,645,Elsevier Science,/scimag/journals/645,/scimag/?journal=645&page=1,1,,,,,
Advances in Space Research,646,Elsevier Science,/scimag/journals/646,/scimag/?journal=646&page=1,896,/scimag/?journal=646&year=2017&volume=59&issue=1,/scimag/?journal=646&year=2018&volume=61&issue=1,/scimag/?journal=646&year=2019&volume=63&issue=1,/scimag/?journal=646&year=2020&volume=65&issue=1,/scimag/?journal=646&year=2021&volume=67&issue=1
Advances in Surgery,649,Elsevier Science,/scimag/journals/649,/scimag/?journal=649&page=1,15,/scimag/?journal=649&year=2017&volume=51&issue=1,/scimag/?journal=649&year=2018&volume=52&issue=1,/scimag/?journal=649&year=2019&volume=53&issue=,/scimag/?journal=649&year=2020&volume=54&issue=,
Advances in Water Resources,660,Elsevier Science,/scimag/journals/660,/scimag/?journal=660&page=1,181,/scimag/?journal=660&year=2017&volume=99&issue=,/scimag/?journal=660&year=2018&volume=111&issue=,/scimag/?journal=660&year=2019&volume=123&issue=,/scimag/?journal=660&year=2020&volume=135&issue=,/scimag/?journal=660&year=2021&volume=147&issue=
AeroMedical Journal,667,Elsevier Science,/scimag/journals/667,/scimag/?journal=667&page=1,22,,,,,
Aerospace Science and Technology,670,Elsevier Science,/scimag/journals/670,/scimag/?journal=670&page=1,186,/scimag/?journal=670&year=2017&volume=60&issue=,/scimag/?journal=670&year=2018&volume=72&issue=,/scimag/?journal=670&year=2019&volume=84&issue=,/scimag/?journal=670&year=2020&volume=96&issue=,/scimag/?journal=670&year=2021&volume=108&issue=
AEU - International Journal of Electronics and Communications,676,Elsevier Science,/scimag/journals/676,/scimag/?journal=676&page=1,157,/scimag/?journal=676&year=2017&volume=71&issue=,/scimag/?journal=676&year=2018&volume=83&issue=,/scimag/?journal=676&year=2019&volume=98&issue=,/scimag/?journal=676&year=2020&volume=113&issue=,/scimag/?journal=676&year=2021&volume=128&issue=
Ageing Research Reviews,789,Elsevier Science,/scimag/journals/789,/scimag/?journal=789&page=1,49,/scimag/?journal=789&year=2017&volume=33&issue=,/scimag/?journal=789&year=2018&volume=41&issue=,/scimag/?journal=789&year=2019&volume=49&issue=,/scimag/?journal=789&year=2020&volume=57&issue=,/scimag/?journal=789&year=2021&volume=65&issue=
Aggression and Violent Behavior,793,Elsevier Science,/scimag/journals/793,/scimag/?journal=793&page=1,63,/scimag/?journal=793&year=2017&volume=32&issue=,/scimag/?journal=793&year=2018&volume=38&issue=,/scimag/?journal=793&year=2019&volume=44&issue=,/scimag/?journal=793&year=2020&volume=50&issue=,/scimag/?journal=793&year=2021&volume=56&issue=
Agricultural Administration,806,Elsevier Science,/scimag/journals/806,/scimag/?journal=806&page=1,29,,,,,
Agricultural Administration and Extension,807,Elsevier Science,/scimag/journals/807,/scimag/?journal=807&page=1,9,,,,,
Agricultural and Forest Meteorology,814,Elsevier Science,/scimag/journals/814,/scimag/?journal=814&page=1,282,/scimag/?journal=814&year=2017&volume=232&issue=,/scimag/?journal=814&year=2018&volume=248&issue=,/scimag/?journal=814&year=2019&volume=264&issue=,/scimag/?journal=814&year=2020&volume=280&issue=,/scimag/?journal=814&year=2021&volume=296&issue=
Agricultural Economics,815,Elsevier Science,/scimag/journals/815,/scimag/?journal=815&page=1,123,/scimag/?journal=815&year=2017&volume=48&issue=S1,/scimag/?journal=815&year=2018&volume=49&issue=1,/scimag/?journal=815&year=2019&volume=50&issue=S1,/scimag/?journal=815&year=2020&volume=51&issue=1,
Agricultural Meteorology,821,Elsevier Science,/scimag/journals/821,/scimag/?journal=821&page=1,51,,,,,
Agricultural Sciences in China,824,Elsevier Science,/scimag/journals/824,/scimag/?journal=824&page=1,48,,,,,
Agricultural Systems,825,Elsevier Science,/scimag/journals/825,/scimag/?journal=825&page=1,175,/scimag/?journal=825&year=2017&volume=150&issue=,/scimag/?journal=825&year=2018&volume=159&issue=,/scimag/?journal=825&year=2019&volume=168&issue=,/scimag/?journal=825&year=2020&volume=177&issue=,/scimag/?journal=825&year=2021&volume=186&issue=
Agricultural Wastes,826,Elsevier Science,/scimag/journals/826,/scimag/?journal=826&page=1,24,,,,,
Agricultural Water Management,827,Elsevier Science,/scimag/journals/827,/scimag/?journal=827&page=1,262,/scimag/?journal=827&year=2017&volume=179&issue=,/scimag/?journal=827&year=2018&volume=195&issue=,/scimag/?journal=827&year=2019&volume=211&issue=,/scimag/?journal=827&year=2020&volume=227&issue=,/scimag/?journal=827&year=2021&volume=243&issue=
Agriculture and Environment,833,Elsevier Science,/scimag/journals/833,/scimag/?journal=833&page=1,15,,,,,
"Agriculture, Ecosystems & Environment",835,Elsevier Science,/scimag/journals/835,/scimag/?journal=835&page=1,333,/scimag/?journal=835&year=2017&volume=236&issue=,/scimag/?journal=835&year=2018&volume=251&issue=,/scimag/?journal=835&year=2019&volume=269&issue=,/scimag/?journal=835&year=2020&volume=287&issue=,/scimag/?journal=835&year=2021&volume=305&issue=
Agro-Ecosystems,837,Elsevier Science,/scimag/journals/837,/scimag/?journal=837&page=1,15,,,,,
Air & Space Europe,873,Elsevier Science,/scimag/journals/873,/scimag/?journal=873&page=1,17,,,,,
Air Medical Journal,876,Elsevier Science,/scimag/journals/876,/scimag/?journal=876&page=1,121,/scimag/?journal=876&year=2017&volume=36&issue=1,/scimag/?journal=876&year=2018&volume=37&issue=1,/scimag/?journal=876&year=2019&volume=38&issue=1,/scimag/?journal=876&year=2020&volume=39&issue=1,
Aircraft Design,880,Elsevier Science,/scimag/journals/880,/scimag/?journal=880&page=1,3,,,,,
Alcohol,911,Elsevier Science,/scimag/journals/911,/scimag/?journal=911&page=1,160,/scimag/?journal=911&year=2017&volume=58&issue=,/scimag/?journal=911&year=2018&volume=66&issue=,/scimag/?journal=911&year=2019&volume=74&issue=,/scimag/?journal=911&year=2020&volume=82&issue=,/scimag/?journal=911&year=2021&volume=90&issue=
Allergologia et Immunopathologia,938,Elsevier Science,/scimag/journals/938,/scimag/?journal=938&page=1,68,/scimag/?journal=938&year=2017&volume=45&issue=,/scimag/?journal=938&year=2018&volume=46&issue=1,/scimag/?journal=938&year=2019&volume=47&issue=1,/scimag/?journal=938&year=2020&volume=48&issue=2,
Alzheimer's & Dementia,967,Elsevier Science,/scimag/journals/967,/scimag/?journal=967&page=1,1525,/scimag/?journal=967&year=2017&volume=13&issue=1,/scimag/?journal=967&year=2018&volume=14&issue=1,/scimag/?journal=967&year=2019&volume=15&issue=,/scimag/?journal=967&year=2020&volume=16&issue=S12,
Ambulatory Pediatrics,978,Elsevier Science,/scimag/journals/978,/scimag/?journal=978&page=1,27,,,,,
Ambulatory Surgery,979,Elsevier Science,/scimag/journals/979,/scimag/?journal=979&page=1,35,,,,,
American Heart Journal,1004,Elsevier Science,/scimag/journals/1004,/scimag/?journal=1004&page=1,1552,/scimag/?journal=1004&year=2017&volume=183&issue=,/scimag/?journal=1004&year=2018&volume=195&issue=,/scimag/?journal=1004&year=2019&volume=207&issue=,/scimag/?journal=1004&year=2020&volume=219&issue=,/scimag/?journal=1004&year=2021&volume=231&issue=
American Journal of Contact Dermatitis,1041,Elsevier Science,/scimag/journals/1041,/scimag/?journal=1041&page=1,74,,,,,
American Journal of Infection Control,1078,Elsevier Science,/scimag/journals/1078,/scimag/?journal=1078&page=1,522,/scimag/?journal=1078&year=2017&volume=45&issue=1,/scimag/?journal=1078&year=2018&volume=46&issue=1,/scimag/?journal=1078&year=2019&volume=47&issue=,/scimag/?journal=1078&year=2020&volume=48&issue=1,/scimag/?journal=1078&year=2021&volume=49&issue=1
American Journal of Kidney Diseases,1080,Elsevier Science,/scimag/journals/1080,/scimag/?journal=1080&page=1,779,/scimag/?journal=1080&year=2017&volume=69&issue=1,/scimag/?journal=1080&year=2018&volume=71&issue=1,/scimag/?journal=1080&year=2019&volume=73&issue=1,/scimag/?journal=1080&year=2020&volume=75&issue=1,/scimag/?journal=1080&year=2021&volume=77&issue=1
American Journal of Obstetrics and Gynecology,1096,Elsevier Science,/scimag/journals/1096,/scimag/?journal=1096&page=1,3411,/scimag/?journal=1096&year=2017&volume=216&issue=1,/scimag/?journal=1096&year=2018&volume=218&issue=1,/scimag/?journal=1096&year=2019&volume=220&issue=1,/scimag/?journal=1096&year=2020&volume=222&issue=1,/scimag/?journal=1096&year=2021&volume=224&issue=1
American Journal of Ophthalmology,1099,Elsevier Science,/scimag/journals/1099,/scimag/?journal=1099&page=1,1827,/scimag/?journal=1099&year=2017&volume=173&issue=,/scimag/?journal=1099&year=2018&volume=185&issue=,/scimag/?journal=1099&year=2019&volume=197&issue=,/scimag/?journal=1099&year=2020&volume=209&issue=,/scimag/?journal=1099&year=2021&volume=221&issue=
American Journal of Orthodontics,1100,Elsevier Science,/scimag/journals/1100,/scimag/?journal=1100&page=1,336,,,,,
American Journal of Orthodontics and Dentofacial Orthopedics,1101,Elsevier Science,/scimag/journals/1101,/scimag/?journal=1101&page=1,528,/scimag/?journal=1101&year=2017&volume=151&issue=1,/scimag/?journal=1101&year=2018&volume=153&issue=1,/scimag/?journal=1101&year=2019&volume=155&issue=1,/scimag/?journal=1101&year=2020&volume=157&issue=1,/scimag/?journal=1101&year=2021&volume=160&issue=2
American Journal of Orthodontics and Oral Surgery,1102,Elsevier Science,/scimag/journals/1102,/scimag/?journal=1102&page=1,106,,,,,
American Journal of Otolaryngology,1104,Elsevier Science,/scimag/journals/1104,/scimag/?journal=1104&page=1,205,/scimag/?journal=1104&year=2017&volume=38&issue=1,/scimag/?journal=1104&year=2018&volume=39&issue=1,/scimag/?journal=1104&year=2019&volume=40&issue=1,/scimag/?journal=1104&year=2020&volume=41&issue=3,/scimag/?journal=1104&year=2021&volume=42&issue=1
American Journal of Preventive Medicine,1121,Elsevier Science,/scimag/journals/1121,/scimag/?journal=1121&page=1,309,/scimag/?journal=1121&year=2017&volume=52&issue=1,/scimag/?journal=1121&year=2018&volume=54&issue=1,/scimag/?journal=1121&year=2019&volume=56&issue=1,/scimag/?journal=1121&year=2020&volume=58&issue=1,/scimag/?journal=1121&year=2021&volume=60&issue=1
Anaerobe,1187,Elsevier Science,/scimag/journals/1187,/scimag/?journal=1187&page=1,94,/scimag/?journal=1187&year=2017&volume=43&issue=,/scimag/?journal=1187&year=2018&volume=49&issue=,/scimag/?journal=1187&year=2019&volume=55&issue=,/scimag/?journal=1187&year=2020&volume=61&issue=,/scimag/?journal=1187&year=2021&volume=67&issue=
Anales de Cirugía Vascular,1195,Elsevier Science,/scimag/journals/1195,/scimag/?journal=1195&page=1,12,,,,,
Anales de Pediatría,1204,Elsevier Science,/scimag/journals/1204,/scimag/?journal=1204&page=1,257,/scimag/?journal=1204&year=2017&volume=86&issue=1,/scimag/?journal=1204&year=2018&volume=88&issue=1,/scimag/?journal=1204&year=2019&volume=90&issue=1,/scimag/?journal=1204&year=2020&volume=92&issue=1,
Analysis and Intervention in Developmental Disabilities,1220,Elsevier Science,/scimag/journals/1220,/scimag/?journal=1220&page=1,9,,,,,
Analytica Chimica Acta,1225,Elsevier Science,/scimag/journals/1225,/scimag/?journal=1225&page=1,1595,/scimag/?journal=1225&year=2017&volume=949&issue=,/scimag/?journal=1225&year=2018&volume=997&issue=,/scimag/?journal=1225&year=2019&volume=1045&issue=,/scimag/?journal=1225&year=2020&volume=1093&issue=,/scimag/?journal=1225&year=2021&volume=1141&issue=
Analytical Biochemistry,1227,Elsevier Science,/scimag/journals/1227,/scimag/?journal=1227&page=1,1184,/scimag/?journal=1227&year=2017&volume=516&issue=,/scimag/?journal=1227&year=2018&volume=540-541&issue=,/scimag/?journal=1227&year=2019&volume=564-565&issue=,/scimag/?journal=1227&year=2020&volume=588&issue=,/scimag/?journal=1227&year=2021&volume=612&issue=
Anesthesiology Clinics,1270,Elsevier Science,/scimag/journals/1270,/scimag/?journal=1270&page=1,43,/scimag/?journal=1270&year=2017&volume=35&issue=1,/scimag/?journal=1270&year=2018&volume=36&issue=1,/scimag/?journal=1270&year=2019&volume=37&issue=1,/scimag/?journal=1270&year=2020&volume=38&issue=1,
Anesthesiology Clinics of North America,1271,Elsevier Science,/scimag/journals/1271,/scimag/?journal=1271&page=1,30,,,,,
Animal Behaviour,1286,Elsevier Science,/scimag/journals/1286,/scimag/?journal=1286&page=1,621,/scimag/?journal=1286&year=2017&volume=123&issue=,/scimag/?journal=1286&year=2018&volume=135&issue=,/scimag/?journal=1286&year=2019&volume=147&issue=,/scimag/?journal=1286&year=2020&volume=159&issue=,/scimag/?journal=1286&year=2021&volume=171&issue=
Animal Feed Science and Technology,1295,Elsevier Science,/scimag/journals/1295,/scimag/?journal=1295&page=1,287,/scimag/?journal=1295&year=2017&volume=223&issue=,/scimag/?journal=1295&year=2018&volume=235&issue=,/scimag/?journal=1295&year=2019&volume=247&issue=,/scimag/?journal=1295&year=2020&volume=259&issue=,/scimag/?journal=1295&year=2021&volume=271&issue=
Animal Reproduction Science,1306,Elsevier Science,/scimag/journals/1306,/scimag/?journal=1306&page=1,276,/scimag/?journal=1306&year=2017&volume=176&issue=,/scimag/?journal=1306&year=2018&volume=188&issue=,/scimag/?journal=1306&year=2019&volume=200&issue=,/scimag/?journal=1306&year=2020&volume=212&issue=,/scimag/?journal=1306&year=2021&volume=224&issue=
Annales d'Urologie,1368,Elsevier Science,/scimag/journals/1368,/scimag/?journal=1368&page=1,19,,,,,
