Journal,Journal_Id,Publisher,Link,Link_Articles,Number_Pages,links_2017,links_2018,links_2019,links_2020,links_2021
Addiction Biology,424,John Wiley and Sons,/scimag/journals/424,/scimag/?journal=424&page=1,80,/scimag/?journal=424&year=2017&volume=22&issue=1,/scimag/?journal=424&year=2018&volume=23&issue=1,/scimag/?journal=424&year=2019&volume=24&issue=1,/scimag/?journal=424&year=2020&volume=25&issue=1,/scimag/?journal=424&year=2021&volume=26&issue=1
Advanced Energy Materials,462,John Wiley and Sons,/scimag/journals/462,/scimag/?journal=462&page=1,219,/scimag/?journal=462&year=2017&volume=7&issue=1,/scimag/?journal=462&year=2018&volume=8&issue=1,/scimag/?journal=462&year=2019&volume=9&issue=1,/scimag/?journal=462&year=2020&volume=10&issue=1,
Advanced Engineering Materials,465,John Wiley and Sons,/scimag/journals/465,/scimag/?journal=465&page=1,212,/scimag/?journal=465&year=2017&volume=19&issue=1,/scimag/?journal=465&year=2018&volume=20&issue=1,/scimag/?journal=465&year=2019&volume=21&issue=1,/scimag/?journal=465&year=2020&volume=22&issue=1,
Advanced Functional Materials,466,John Wiley and Sons,/scimag/journals/466,/scimag/?journal=466&page=1,654,/scimag/?journal=466&year=2017&volume=27&issue=1,/scimag/?journal=466&year=2018&volume=28&issue=1,/scimag/?journal=466&year=2019&volume=29&issue=1,/scimag/?journal=466&year=2020&volume=30&issue=1,/scimag/?journal=466&year=2021&volume=31&issue=13
Advanced Materials,469,John Wiley and Sons,/scimag/journals/469,/scimag/?journal=469&page=1,974,/scimag/?journal=469&year=2017&volume=29&issue=1,/scimag/?journal=469&year=2018&volume=30&issue=1,/scimag/?journal=469&year=2019&volume=31&issue=1,/scimag/?journal=469&year=2020&volume=32&issue=1,
Advanced Synthesis & Catalysis,479,John Wiley and Sons,/scimag/journals/479,/scimag/?journal=479&page=1,1140,/scimag/?journal=479&year=2017&volume=359&issue=1,/scimag/?journal=479&year=2018&volume=360&issue=4,/scimag/?journal=479&year=2019&volume=361&issue=7,/scimag/?journal=479&year=2020&volume=362&issue=1,/scimag/?journal=479&year=2021&volume=&issue=
Advances in Polymer Technology,626,John Wiley and Sons,/scimag/journals/626,/scimag/?journal=626&page=1,81,/scimag/?journal=626&year=2017&volume=36&issue=1,/scimag/?journal=626&year=2018&volume=37&issue=1,/scimag/?journal=626&year=2019&volume=2019&issue=,/scimag/?journal=626&year=2020&volume=2020&issue=,
Africa Confidential,681,John Wiley and Sons,/scimag/journals/681,/scimag/?journal=681&page=1,9,,,,,
"Africa Research Bulletin: Economic, Financial and Technical Series",685,John Wiley and Sons,/scimag/journals/685,/scimag/?journal=685&page=1,373,/scimag/?journal=685&year=2017&volume=53&issue=11,/scimag/?journal=685&year=2018&volume=54&issue=11,/scimag/?journal=685&year=2019&volume=55&issue=11,/scimag/?journal=685&year=2020&volume=56&issue=11,
"Africa Research Bulletin: Political, Social and Cultural Series",686,John Wiley and Sons,/scimag/journals/686,/scimag/?journal=686&page=1,367,/scimag/?journal=686&year=2017&volume=53&issue=12,/scimag/?journal=686&year=2018&volume=54&issue=12,/scimag/?journal=686&year=2019&volume=55&issue=12,/scimag/?journal=686&year=2020&volume=56&issue=12,
African Development Review,697,John Wiley and Sons,/scimag/journals/697,/scimag/?journal=697&page=1,37,/scimag/?journal=697&year=2017&volume=29&issue=S1,/scimag/?journal=697&year=2018&volume=30&issue=1,/scimag/?journal=697&year=2019&volume=31&issue=1,/scimag/?journal=697&year=2020&volume=32&issue=1,
African Journal of Ecology,723,John Wiley and Sons,/scimag/journals/723,/scimag/?journal=723&page=1,127,/scimag/?journal=723&year=2017&volume=55&issue=1,/scimag/?journal=723&year=2018&volume=56&issue=1,/scimag/?journal=723&year=2019&volume=57&issue=1,/scimag/?journal=723&year=2020&volume=58&issue=1,
Aggressive Behavior,794,John Wiley and Sons,/scimag/journals/794,/scimag/?journal=794&page=1,95,/scimag/?journal=794&year=2017&volume=43&issue=1,/scimag/?journal=794&year=2018&volume=44&issue=1,/scimag/?journal=794&year=2019&volume=45&issue=1,/scimag/?journal=794&year=2020&volume=46&issue=1,
Aging Cell,796,John Wiley and Sons,/scimag/journals/796,/scimag/?journal=796&page=1,86,/scimag/?journal=796&year=2017&volume=16&issue=1,/scimag/?journal=796&year=2018&volume=17&issue=1,/scimag/?journal=796&year=2019&volume=18&issue=1,/scimag/?journal=796&year=2020&volume=19&issue=1,
Agribusiness,804,John Wiley and Sons,/scimag/journals/804,/scimag/?journal=804&page=1,65,/scimag/?journal=804&year=2017&volume=33&issue=1,/scimag/?journal=804&year=2018&volume=34&issue=1,/scimag/?journal=804&year=2019&volume=35&issue=1,/scimag/?journal=804&year=2020&volume=36&issue=1,
Agricultural and Forest Entomology,813,John Wiley and Sons,/scimag/journals/813,/scimag/?journal=813&page=1,41,/scimag/?journal=813&year=2017&volume=19&issue=1,/scimag/?journal=813&year=2018&volume=20&issue=1,/scimag/?journal=813&year=2019&volume=21&issue=1,/scimag/?journal=813&year=2020&volume=22&issue=1,
Alcoholism & Drug Abuse Weekly,913,John Wiley and Sons,/scimag/journals/913,/scimag/?journal=913&page=1,114,/scimag/?journal=913&year=2017&volume=29&issue=1,/scimag/?journal=913&year=2018&volume=30&issue=1,/scimag/?journal=913&year=2019&volume=31&issue=1,/scimag/?journal=913&year=2020&volume=32&issue=1,
Alcoholism: Clinical and Experimental Research,915,John Wiley and Sons,/scimag/journals/915,/scimag/?journal=915&page=1,338,/scimag/?journal=915&year=2017&volume=41&issue=,/scimag/?journal=915&year=2018&volume=42&issue=,/scimag/?journal=915&year=2019&volume=43&issue=S1,/scimag/?journal=915&year=2020&volume=44&issue=S1,/scimag/?journal=915&year=2021&volume=&issue=
Alimentary Pharmacology & Therapeutics,933,John Wiley and Sons,/scimag/journals/933,/scimag/?journal=933&page=1,404,/scimag/?journal=933&year=2017&volume=45&issue=1,/scimag/?journal=933&year=2018&volume=47&issue=1,/scimag/?journal=933&year=2019&volume=49&issue=1,/scimag/?journal=933&year=2020&volume=51&issue=1,
Alimentary Pharmacology & Therapeutics Symposium Series,935,John Wiley and Sons,/scimag/journals/935,/scimag/?journal=935&page=1,3,,,,,
Allergology International,940,John Wiley and Sons,/scimag/journals/940,/scimag/?journal=940&page=1,70,/scimag/?journal=940&year=2017&volume=66&issue=,/scimag/?journal=940&year=2018&volume=67&issue=,/scimag/?journal=940&year=2019&volume=68&issue=,/scimag/?journal=940&year=2020&volume=69&issue=1,/scimag/?journal=940&year=2021&volume=70&issue=1
Allergy,941,John Wiley and Sons,/scimag/journals/941,/scimag/?journal=941&page=1,465,/scimag/?journal=941&year=2017&volume=72&issue=,/scimag/?journal=941&year=2018&volume=73&issue=,/scimag/?journal=941&year=2019&volume=74&issue=S108,/scimag/?journal=941&year=2020&volume=75&issue=,/scimag/?journal=941&year=2021&volume=&issue=
Ambulatory Child Health,977,John Wiley and Sons,/scimag/journals/977,/scimag/?journal=977&page=1,7,,,,,
American Business Law Journal,990,John Wiley and Sons,/scimag/journals/990,/scimag/?journal=990&page=1,23,/scimag/?journal=990&year=2017&volume=54&issue=1,/scimag/?journal=990&year=2018&volume=55&issue=1,/scimag/?journal=990&year=2019&volume=56&issue=1,/scimag/?journal=990&year=2020&volume=57&issue=1,
American Journal of Economics and Sociology,1054,John Wiley and Sons,/scimag/journals/1054,/scimag/?journal=1054&page=1,233,/scimag/?journal=1054&year=2017&volume=76&issue=1,/scimag/?journal=1054&year=2018&volume=77&issue=1,/scimag/?journal=1054&year=2019&volume=78&issue=1,/scimag/?journal=1054&year=2020&volume=79&issue=1,
American Journal of Hematology,1071,John Wiley and Sons,/scimag/journals/1071,/scimag/?journal=1071&page=1,416,/scimag/?journal=1071&year=2017&volume=92&issue=1,/scimag/?journal=1071&year=2018&volume=93&issue=1,/scimag/?journal=1071&year=2019&volume=94&issue=S1,/scimag/?journal=1071&year=2020&volume=95&issue=S1,/scimag/?journal=1071&year=2021&volume=96&issue=1
American Journal of Human Biology,1073,John Wiley and Sons,/scimag/journals/1073,/scimag/?journal=1073&page=1,161,/scimag/?journal=1073&year=2017&volume=29&issue=1,/scimag/?journal=1073&year=2018&volume=30&issue=1,/scimag/?journal=1073&year=2019&volume=31&issue=1,/scimag/?journal=1073&year=2020&volume=32&issue=S1,
American Journal of Industrial Medicine,1077,John Wiley and Sons,/scimag/journals/1077,/scimag/?journal=1077&page=1,245,/scimag/?journal=1077&year=2017&volume=60&issue=1,/scimag/?journal=1077&year=2018&volume=61&issue=1,/scimag/?journal=1077&year=2019&volume=62&issue=1,/scimag/?journal=1077&year=2020&volume=63&issue=1,/scimag/?journal=1077&year=2021&volume=64&issue=1
American Journal of Medical Genetics,1083,John Wiley and Sons,/scimag/journals/1083,/scimag/?journal=1083&page=1,121,,,,,
American Journal of Medical Genetics Part A,1084,John Wiley and Sons,/scimag/journals/1084,/scimag/?journal=1084&page=1,757,/scimag/?journal=1084&year=2017&volume=173&issue=1,/scimag/?journal=1084&year=2018&volume=176&issue=1,/scimag/?journal=1084&year=2019&volume=179&issue=1,/scimag/?journal=1084&year=2020&volume=182&issue=1,/scimag/?journal=1084&year=2021&volume=185&issue=1
American Journal of Medical Genetics Part B: Neuropsychiatric Genetics,1085,John Wiley and Sons,/scimag/journals/1085,/scimag/?journal=1085&page=1,92,/scimag/?journal=1085&year=2017&volume=174&issue=1,/scimag/?journal=1085&year=2018&volume=177&issue=1,/scimag/?journal=1085&year=2019&volume=180&issue=1,/scimag/?journal=1085&year=2020&volume=183&issue=1,
American Journal of Medical Genetics Part C: Seminars in Medical Genetics,1086,John Wiley and Sons,/scimag/journals/1086,/scimag/?journal=1086&page=1,37,/scimag/?journal=1086&year=2017&volume=175&issue=1,/scimag/?journal=1086&year=2018&volume=178&issue=1,/scimag/?journal=1086&year=2019&volume=181&issue=1,/scimag/?journal=1086&year=2020&volume=184&issue=1,
American Journal of Physical Anthropology,1112,John Wiley and Sons,/scimag/journals/1112,/scimag/?journal=1112&page=1,509,/scimag/?journal=1112&year=2017&volume=162&issue=,/scimag/?journal=1112&year=2018&volume=165&issue=,/scimag/?journal=1112&year=2019&volume=168&issue=,/scimag/?journal=1112&year=2020&volume=171&issue=S69,/scimag/?journal=1112&year=2021&volume=&issue=Special%20Issue%3A%20Race%20reconciled%20II%3A%20Interpreting%20and%20communicating%20biological%20variation%20and%20race
American Journal of Political Science,1119,John Wiley and Sons,/scimag/journals/1119,/scimag/?journal=1119&page=1,144,/scimag/?journal=1119&year=2017&volume=61&issue=1,/scimag/?journal=1119&year=2018&volume=62&issue=1,/scimag/?journal=1119&year=2019&volume=63&issue=1,/scimag/?journal=1119&year=2020&volume=64&issue=1,
American Journal of Primatology,1122,John Wiley and Sons,/scimag/journals/1122,/scimag/?journal=1122&page=1,172,/scimag/?journal=1122&year=2017&volume=79&issue=1,/scimag/?journal=1122&year=2018&volume=80&issue=S1,/scimag/?journal=1122&year=2019&volume=81&issue=S1,/scimag/?journal=1122&year=2020&volume=82&issue=S1,/scimag/?journal=1122&year=2021&volume=83&issue=1
American Journal of Reproductive Immunology,1128,John Wiley and Sons,/scimag/journals/1128,/scimag/?journal=1128&page=1,199,/scimag/?journal=1128&year=2017&volume=77&issue=1,/scimag/?journal=1128&year=2018&volume=79&issue=1,/scimag/?journal=1128&year=2019&volume=81&issue=S1,/scimag/?journal=1128&year=2020&volume=83&issue=1,
American Journal of Transplantation,1144,John Wiley and Sons,/scimag/journals/1144,/scimag/?journal=1144&page=1,353,/scimag/?journal=1144&year=2017&volume=17&issue=,/scimag/?journal=1144&year=2018&volume=18&issue=,/scimag/?journal=1144&year=2019&volume=19&issue=,/scimag/?journal=1144&year=2020&volume=20&issue=,/scimag/?journal=1144&year=2021&volume=21&issue=1
Anaesthesia,1188,John Wiley and Sons,/scimag/journals/1188,/scimag/?journal=1188&page=1,1033,/scimag/?journal=1188&year=2017&volume=72&issue=,/scimag/?journal=1188&year=2018&volume=73&issue=,/scimag/?journal=1188&year=2019&volume=74&issue=,/scimag/?journal=1188&year=2020&volume=75&issue=S1,/scimag/?journal=1188&year=2021&volume=76&issue=1
Analyses of Social Issues and Public Policy,1215,John Wiley and Sons,/scimag/journals/1215,/scimag/?journal=1215&page=1,22,/scimag/?journal=1215&year=2017&volume=17&issue=1,/scimag/?journal=1215&year=2018&volume=18&issue=1,/scimag/?journal=1215&year=2019&volume=19&issue=1,/scimag/?journal=1215&year=2020&volume=20&issue=1,
Analysis (John Wiley and Sons),1217,John Wiley and Sons,/scimag/journals/1217,/scimag/?journal=1217&page=1,340,/scimag/?journal=1217&year=2017&volume=77&issue=1,/scimag/?journal=1217&year=2018&volume=78&issue=1,/scimag/?journal=1217&year=2019&volume=79&issue=1,/scimag/?journal=1217&year=2020&volume=80&issue=1,/scimag/?journal=1217&year=2021&volume=&issue=
"Anatomia, Histologia, Embryologia",1245,John Wiley and Sons,/scimag/journals/1245,/scimag/?journal=1245&page=1,113,/scimag/?journal=1245&year=2017&volume=46&issue=,/scimag/?journal=1245&year=2018&volume=47&issue=,/scimag/?journal=1245&year=2019&volume=48&issue=S1,/scimag/?journal=1245&year=2020&volume=49&issue=1,
Anatomical Sciences Education,1248,John Wiley and Sons,/scimag/journals/1248,/scimag/?journal=1248&page=1,41,/scimag/?journal=1248&year=2017&volume=10&issue=1,/scimag/?journal=1248&year=2018&volume=11&issue=1,/scimag/?journal=1248&year=2019&volume=12&issue=1,/scimag/?journal=1248&year=2020&volume=13&issue=1,
Andrologia,1261,John Wiley and Sons,/scimag/journals/1261,/scimag/?journal=1261&page=1,232,/scimag/?journal=1261&year=2017&volume=49&issue=1,/scimag/?journal=1261&year=2018&volume=50&issue=1,/scimag/?journal=1261&year=2019&volume=51&issue=1,/scimag/?journal=1261&year=2020&volume=52&issue=1,
Angewandte Chemie,1274,John Wiley and Sons,/scimag/journals/1274,/scimag/?journal=1274&page=1,7186,/scimag/?journal=1274&year=2017&volume=56&issue=1,/scimag/?journal=1274&year=2018&volume=57&issue=1,/scimag/?journal=1274&year=2019&volume=58&issue=1,/scimag/?journal=1274&year=2020&volume=59&issue=1,/scimag/?journal=1274&year=2021&volume=60&issue=1
Animal Blood Groups and Biochemical Genetics =Animal Genetics (Wiley),1290,John Wiley and Sons,/scimag/journals/1290,/scimag/?journal=1290&page=1,196,/scimag/?journal=1290&year=2017&volume=48&issue=1,/scimag/?journal=1290&year=2018&volume=49&issue=1,/scimag/?journal=1290&year=2019&volume=50&issue=1,/scimag/?journal=1290&year=2020&volume=51&issue=1,
Animal Conservation,1294,John Wiley and Sons,/scimag/journals/1294,/scimag/?journal=1294&page=1,65,/scimag/?journal=1294&year=2017&volume=20&issue=1,/scimag/?journal=1294&year=2018&volume=21&issue=1,/scimag/?journal=1294&year=2019&volume=22&issue=1,/scimag/?journal=1294&year=2020&volume=23&issue=1,
Animal Science Journal,1310,John Wiley and Sons,/scimag/journals/1310,/scimag/?journal=1310&page=1,101,/scimag/?journal=1310&year=2017&volume=88&issue=1,/scimag/?journal=1310&year=2018&volume=89&issue=1,/scimag/?journal=1310&year=2019&volume=90&issue=1,/scimag/?journal=1310&year=2020&volume=91&issue=1,
Annalen der Physik,1324,John Wiley and Sons,/scimag/journals/1324,/scimag/?journal=1324&page=1,1231,/scimag/?journal=1324&year=2017&volume=529&issue=1-2,/scimag/?journal=1324&year=2018&volume=530&issue=1,/scimag/?journal=1324&year=2019&volume=531&issue=1,/scimag/?journal=1324&year=2020&volume=532&issue=1,
Annali di Chimica,1404,John Wiley and Sons,/scimag/journals/1404,/scimag/?journal=1404&page=1,18,,,,,
Annals of Human Genetics,1447,John Wiley and Sons,/scimag/journals/1447,/scimag/?journal=1447&page=1,159,/scimag/?journal=1447&year=2017&volume=81&issue=1,/scimag/?journal=1447&year=2018&volume=82&issue=1,/scimag/?journal=1447&year=2019&volume=83&issue=1,/scimag/?journal=1447&year=2020&volume=84&issue=1,
Annals of Neurology,1462,John Wiley and Sons,/scimag/journals/1462,/scimag/?journal=1462&page=1,603,/scimag/?journal=1462&year=2017&volume=81&issue=1,/scimag/?journal=1462&year=2018&volume=83&issue=1,/scimag/?journal=1462&year=2019&volume=85&issue=1,/scimag/?journal=1462&year=2020&volume=87&issue=1,/scimag/?journal=1462&year=2021&volume=89&issue=1
Annals of Noninvasive Electrocardiology,1465,John Wiley and Sons,/scimag/journals/1465,/scimag/?journal=1465&page=1,75,/scimag/?journal=1465&year=2017&volume=22&issue=1,/scimag/?journal=1465&year=2018&volume=23&issue=1,/scimag/?journal=1465&year=2019&volume=24&issue=1,/scimag/?journal=1465&year=2020&volume=25&issue=1,
Annals of Public and Cooperative Economics,1482,John Wiley and Sons,/scimag/journals/1482,/scimag/?journal=1482&page=1,116,/scimag/?journal=1482&year=2017&volume=88&issue=1,/scimag/?journal=1482&year=2018&volume=89&issue=1,/scimag/?journal=1482&year=2019&volume=90&issue=1,/scimag/?journal=1482&year=2020&volume=91&issue=1,
Annals of the College of Surgeons Hong Kong,1497,John Wiley and Sons,/scimag/journals/1497,/scimag/?journal=1497&page=1,1,,,,,
Annual Bulletin of Historical Literature,1524,John Wiley and Sons,/scimag/journals/1524,/scimag/?journal=1524&page=1,51,,,,,
Anthropology & Education Quarterly,1616,John Wiley and Sons,/scimag/journals/1616,/scimag/?journal=1616&page=1,133,/scimag/?journal=1616&year=2017&volume=48&issue=1,/scimag/?journal=1616&year=2018&volume=49&issue=1,/scimag/?journal=1616&year=2019&volume=50&issue=1,/scimag/?journal=1616&year=2020&volume=51&issue=1,/scimag/?journal=1616&year=2021&volume=&issue=
Anthropology Today,1626,John Wiley and Sons,/scimag/journals/1626,/scimag/?journal=1626&page=1,145,/scimag/?journal=1626&year=2017&volume=33&issue=1,/scimag/?journal=1626&year=2018&volume=34&issue=1,/scimag/?journal=1626&year=2019&volume=35&issue=1,/scimag/?journal=1626&year=2020&volume=36&issue=1,
Antipode,1645,John Wiley and Sons,/scimag/journals/1645,/scimag/?journal=1645&page=1,100,/scimag/?journal=1645&year=2017&volume=49&issue=,/scimag/?journal=1645&year=2018&volume=50&issue=1,/scimag/?journal=1645&year=2019&volume=51&issue=1,/scimag/?journal=1645&year=2020&volume=52&issue=1,/scimag/?journal=1645&year=2021&volume=&issue=
Anxiety,1662,John Wiley and Sons,/scimag/journals/1662,/scimag/?journal=1662&page=1,5,,,,,
ANZ Journal of Surgery,1665,John Wiley and Sons,/scimag/journals/1665,/scimag/?journal=1665&page=1,542,/scimag/?journal=1665&year=2017&volume=87&issue=,/scimag/?journal=1665&year=2018&volume=88&issue=,/scimag/?journal=1665&year=2019&volume=89&issue=S1,/scimag/?journal=1665&year=2020&volume=90&issue=S1,
Applied Cognitive Psychology,1710,John Wiley and Sons,/scimag/journals/1710,/scimag/?journal=1710&page=1,117,/scimag/?journal=1710&year=2017&volume=31&issue=1,/scimag/?journal=1710&year=2018&volume=32&issue=1,/scimag/?journal=1710&year=2019&volume=33&issue=1,/scimag/?journal=1710&year=2020&volume=34&issue=1,/scimag/?journal=1710&year=2021&volume=&issue=
Applied Geographic Studies,1727,John Wiley and Sons,/scimag/journals/1727,/scimag/?journal=1727&page=1,1,,,,,
Applied Numerical Analysis & Computational Mathematics,1758,John Wiley and Sons,/scimag/journals/1758,/scimag/?journal=1758&page=1,4,,,,,
Applied Organometallic Chemistry,1764,John Wiley and Sons,/scimag/journals/1764,/scimag/?journal=1764&page=1,257,/scimag/?journal=1764&year=2017&volume=31&issue=1,/scimag/?journal=1764&year=2018&volume=32&issue=1,/scimag/?journal=1764&year=2019&volume=33&issue=1,/scimag/?journal=1764&year=2020&volume=34&issue=1,/scimag/?journal=1764&year=2021&volume=35&issue=1
Applied Psychology,1777,John Wiley and Sons,/scimag/journals/1777,/scimag/?journal=1777&page=1,95,/scimag/?journal=1777&year=2017&volume=66&issue=1,/scimag/?journal=1777&year=2018&volume=67&issue=1,/scimag/?journal=1777&year=2019&volume=68&issue=1,/scimag/?journal=1777&year=2020&volume=69&issue=1,
Applied Stochastic Models in Business and Industry,1795,John Wiley and Sons,/scimag/journals/1795,/scimag/?journal=1795&page=1,67,/scimag/?journal=1795&year=2017&volume=33&issue=1,/scimag/?journal=1795&year=2018&volume=34&issue=1,/scimag/?journal=1795&year=2019&volume=35&issue=1,/scimag/?journal=1795&year=2020&volume=36&issue=1,
Aquaculture Nutrition,1818,John Wiley and Sons,/scimag/journals/1818,/scimag/?journal=1818&page=1,84,/scimag/?journal=1818&year=2017&volume=23&issue=1,/scimag/?journal=1818&year=2018&volume=24&issue=1,/scimag/?journal=1818&year=2019&volume=25&issue=1,/scimag/?journal=1818&year=2020&volume=26&issue=1,
Aquaculture Research,1819,John Wiley and Sons,/scimag/journals/1819,/scimag/?journal=1819&page=1,290,/scimag/?journal=1819&year=2017&volume=48&issue=3,/scimag/?journal=1819&year=2018&volume=49&issue=1,/scimag/?journal=1819&year=2019&volume=50&issue=1,/scimag/?journal=1819&year=2020&volume=51&issue=1,/scimag/?journal=1819&year=2021&volume=52&issue=1
Aquatic Conservation: Marine and Freshwater Ecosystems,1824,John Wiley and Sons,/scimag/journals/1824,/scimag/?journal=1824&page=1,99,/scimag/?journal=1824&year=2017&volume=27&issue=,/scimag/?journal=1824&year=2018&volume=28&issue=1,/scimag/?journal=1824&year=2019&volume=29&issue=S2,/scimag/?journal=1824&year=2020&volume=30&issue=1,
Arabian Archaeology and Epigraphy,1841,John Wiley and Sons,/scimag/journals/1841,/scimag/?journal=1841&page=1,21,/scimag/?journal=1841&year=2017&volume=28&issue=1,/scimag/?journal=1841&year=2018&volume=29&issue=1,/scimag/?journal=1841&year=2019&volume=30&issue=1,/scimag/?journal=1841&year=2020&volume=31&issue=1,
