Journal,Journal_Id,Publisher,Link,Link_Articles,Number_Pages,links_2017,links_2018,links_2019,links_2020,links_2021
Activities Adaptation & Aging,409,Taylor and Francis Group,/scimag/journals/409,/scimag/?journal=409&page=1,62,/scimag/?journal=409&year=2017&volume=41&issue=1,/scimag/?journal=409&year=2018&volume=42&issue=1,/scimag/?journal=409&year=2019&volume=43&issue=1,/scimag/?journal=409&year=2020&volume=44&issue=1,
Adelphi Papers,430,Taylor and Francis Group,/scimag/journals/430,/scimag/?journal=430&page=1,108,,,,,
Adelphi series,431,Taylor and Francis Group,/scimag/journals/431,/scimag/?journal=431&page=1,5,/scimag/?journal=431&year=2017&volume=57&issue=466-467,/scimag/?journal=431&year=2018&volume=58&issue=472-474,,,
Advanced Composite Materials,457,Taylor and Francis Group,/scimag/journals/457,/scimag/?journal=457&page=1,39,/scimag/?journal=457&year=2017&volume=26&issue=sup1,/scimag/?journal=457&year=2018&volume=27&issue=2,/scimag/?journal=457&year=2019&volume=28&issue=5,/scimag/?journal=457&year=2020&volume=29&issue=6,/scimag/?journal=457&year=2021&volume=30&issue=sup1
Advanced Robotics,477,Taylor and Francis Group,/scimag/journals/477,/scimag/?journal=477&page=1,102,/scimag/?journal=477&year=2017&volume=31&issue=1-2,/scimag/?journal=477&year=2018&volume=32&issue=1,/scimag/?journal=477&year=2019&volume=33&issue=1,/scimag/?journal=477&year=2020&volume=34&issue=1,/scimag/?journal=477&year=2021&volume=35&issue=1
Advances in Oceanography and Limnology,609,Taylor and Francis Group,/scimag/journals/609,/scimag/?journal=609&page=1,6,/scimag/?journal=609&year=2017&volume=8&issue=1,/scimag/?journal=609&year=2018&volume=9&issue=1,/scimag/?journal=609&year=2019&volume=10&issue=1,/scimag/?journal=609&year=2020&volume=11&issue=1,
Advances In Physics,624,Taylor and Francis Group,/scimag/journals/624,/scimag/?journal=624&page=1,32,/scimag/?journal=624&year=2017&volume=66&issue=2,/scimag/?journal=624&year=2018&volume=67&issue=1,/scimag/?journal=624&year=2019&volume=68&issue=1,/scimag/?journal=624&year=2020&volume=69&issue=1,
Advances in the History of Rhetoric,651,Taylor and Francis Group,/scimag/journals/651,/scimag/?journal=651&page=1,13,/scimag/?journal=651&year=2017&volume=20&issue=1,/scimag/?journal=651&year=2018&volume=21&issue=1,/scimag/?journal=651&year=2019&volume=22&issue=1,,
Aerosol Science & Technology,669,Taylor and Francis Group,/scimag/journals/669,/scimag/?journal=669&page=1,155,/scimag/?journal=669&year=2017&volume=51&issue=1,/scimag/?journal=669&year=2018&volume=52&issue=1,/scimag/?journal=669&year=2019&volume=53&issue=1,/scimag/?journal=669&year=2020&volume=54&issue=1,/scimag/?journal=669&year=2021&volume=55&issue=1
Africa Education Review,683,Taylor and Francis Group,/scimag/journals/683,/scimag/?journal=683&page=1,23,/scimag/?journal=683&year=2017&volume=14&issue=1,/scimag/?journal=683&year=2018&volume=15&issue=1,/scimag/?journal=683&year=2019&volume=16&issue=1,/scimag/?journal=683&year=2020&volume=17&issue=3,
African and Black Diaspora An International Journal,691,Taylor and Francis Group,/scimag/journals/691,/scimag/?journal=691&page=1,12,/scimag/?journal=691&year=2017&volume=10&issue=1,/scimag/?journal=691&year=2018&volume=11&issue=1,/scimag/?journal=691&year=2019&volume=12&issue=1,/scimag/?journal=691&year=2020&volume=13&issue=2,
African Historical Review,704,Taylor and Francis Group,/scimag/journals/704,/scimag/?journal=704&page=1,13,/scimag/?journal=704&year=2017&volume=49&issue=1,/scimag/?journal=704&year=2018&volume=50&issue=1-2,/scimag/?journal=704&year=2019&volume=51&issue=1,/scimag/?journal=704&year=2020&volume=&issue=,
African Identities,706,Taylor and Francis Group,/scimag/journals/706,/scimag/?journal=706&page=1,23,/scimag/?journal=706&year=2017&volume=15&issue=1,/scimag/?journal=706&year=2018&volume=16&issue=1,/scimag/?journal=706&year=2019&volume=17&issue=1,/scimag/?journal=706&year=2020&volume=18&issue=3,
African Journal of AIDS Research,712,Taylor and Francis Group,/scimag/journals/712,/scimag/?journal=712&page=1,28,/scimag/?journal=712&year=2017&volume=16&issue=1,/scimag/?journal=712&year=2018&volume=17&issue=1,/scimag/?journal=712&year=2019&volume=18&issue=1,/scimag/?journal=712&year=2020&volume=19&issue=1,
African Journal of Aquatic Science,715,Taylor and Francis Group,/scimag/journals/715,/scimag/?journal=715&page=1,36,/scimag/?journal=715&year=2017&volume=42&issue=1,/scimag/?journal=715&year=2018&volume=43&issue=1,/scimag/?journal=715&year=2019&volume=44&issue=1,/scimag/?journal=715&year=2020&volume=45&issue=1-2,
African Journal of Herpetology,735,Taylor and Francis Group,/scimag/journals/735,/scimag/?journal=735&page=1,15,/scimag/?journal=735&year=2017&volume=66&issue=1,/scimag/?journal=735&year=2018&volume=67&issue=1,/scimag/?journal=735&year=2019&volume=68&issue=1,/scimag/?journal=735&year=2020&volume=69&issue=1,
African Journal of Marine Science,742,Taylor and Francis Group,/scimag/journals/742,/scimag/?journal=742&page=1,38,/scimag/?journal=742&year=2017&volume=39&issue=1,/scimag/?journal=742&year=2018&volume=40&issue=1,/scimag/?journal=742&year=2019&volume=41&issue=1,/scimag/?journal=742&year=2020&volume=42&issue=1,
African Journal of Range and Forage Science,758,Taylor and Francis Group,/scimag/journals/758,/scimag/?journal=758&page=1,31,/scimag/?journal=758&year=2017&volume=34&issue=1,/scimag/?journal=758&year=2018&volume=35&issue=1,/scimag/?journal=758&year=2019&volume=36&issue=1,/scimag/?journal=758&year=2020&volume=37&issue=1,
African Languages and Cultures,765,Taylor and Francis Group,/scimag/journals/765,/scimag/?journal=765&page=1,12,,,,,
African Security,769,Taylor and Francis Group,/scimag/journals/769,/scimag/?journal=769&page=1,8,/scimag/?journal=769&year=2017&volume=10&issue=1,/scimag/?journal=769&year=2018&volume=11&issue=1,/scimag/?journal=769&year=2019&volume=12&issue=1,/scimag/?journal=769&year=2020&volume=13&issue=1,
African Studies,772,Taylor and Francis Group,/scimag/journals/772,/scimag/?journal=772&page=1,74,/scimag/?journal=772&year=2017&volume=76&issue=1,/scimag/?journal=772&year=2018&volume=77&issue=1,/scimag/?journal=772&year=2019&volume=78&issue=1,/scimag/?journal=772&year=2020&volume=79&issue=1,
Agenda,790,Taylor and Francis Group,/scimag/journals/790,/scimag/?journal=790&page=1,77,/scimag/?journal=790&year=2017&volume=31&issue=1,/scimag/?journal=790&year=2018&volume=32&issue=1,/scimag/?journal=790&year=2019&volume=33&issue=1,/scimag/?journal=790&year=2020&volume=34&issue=1,
Aging & Mental Health,795,Taylor and Francis Group,/scimag/journals/795,/scimag/?journal=795&page=1,116,/scimag/?journal=795&year=2017&volume=21&issue=1,/scimag/?journal=795&year=2018&volume=22&issue=9,/scimag/?journal=795&year=2019&volume=23&issue=10,/scimag/?journal=795&year=2020&volume=&issue=,
Aging Neuropsychology and Cognition,798,Taylor and Francis Group,/scimag/journals/798,/scimag/?journal=798&page=1,40,/scimag/?journal=798&year=2017&volume=&issue=,/scimag/?journal=798&year=2018&volume=25&issue=5,/scimag/?journal=798&year=2019&volume=26&issue=1,/scimag/?journal=798&year=2020&volume=&issue=,
AIDS Care,855,Taylor and Francis Group,/scimag/journals/855,/scimag/?journal=855&page=1,196,/scimag/?journal=855&year=2017&volume=29&issue=1,/scimag/?journal=855&year=2018&volume=30&issue=sup5,/scimag/?journal=855&year=2019&volume=31&issue=1,/scimag/?journal=855&year=2020&volume=32&issue=sup1,
AIHA Journal,864,Taylor and Francis Group,/scimag/journals/864,/scimag/?journal=864&page=1,30,,,,,
Al Masaq Islam and the Medieval Mediterranean,907,Taylor and Francis Group,/scimag/journals/907,/scimag/?journal=907&page=1,24,/scimag/?journal=907&year=2017&volume=29&issue=1,/scimag/?journal=907&year=2018&volume=30&issue=1,/scimag/?journal=907&year=2019&volume=31&issue=1,/scimag/?journal=907&year=2020&volume=32&issue=1,/scimag/?journal=907&year=2021&volume=&issue=
Alcheringa An Australasian Journal of Palaeontology,910,Taylor and Francis Group,/scimag/journals/910,/scimag/?journal=910&page=1,53,/scimag/?journal=910&year=2017&volume=&issue=,/scimag/?journal=910&year=2018&volume=42&issue=1,/scimag/?journal=910&year=2019&volume=43&issue=4,/scimag/?journal=910&year=2020&volume=44&issue=3,
ALT-J,963,Taylor and Francis Group,/scimag/journals/963,/scimag/?journal=963&page=1,19,,,,,
American Communist History,991,Taylor and Francis Group,/scimag/journals/991,/scimag/?journal=991&page=1,18,/scimag/?journal=991&year=2017&volume=16&issue=1-2,/scimag/?journal=991&year=2018&volume=17&issue=1,/scimag/?journal=991&year=2019&volume=18&issue=1-2,/scimag/?journal=991&year=2020&volume=19&issue=1-2,
American Foreign Policy Interests,1001,Taylor and Francis Group,/scimag/journals/1001,/scimag/?journal=1001&page=1,46,,,,,
American Journal of Bioethics,1024,Taylor and Francis Group,/scimag/journals/1024,/scimag/?journal=1024&page=1,212,/scimag/?journal=1024&year=2017&volume=17&issue=1,/scimag/?journal=1024&year=2018&volume=18&issue=1,/scimag/?journal=1024&year=2019&volume=19&issue=1,/scimag/?journal=1024&year=2020&volume=20&issue=1,/scimag/?journal=1024&year=2021&volume=21&issue=1
American Journal of Distance Education,1050,Taylor and Francis Group,/scimag/journals/1050,/scimag/?journal=1050&page=1,44,/scimag/?journal=1050&year=2017&volume=31&issue=1,/scimag/?journal=1050&year=2018&volume=32&issue=1,/scimag/?journal=1050&year=2019&volume=33&issue=1,/scimag/?journal=1050&year=2020&volume=34&issue=1,
American Journal of Family Therapy,1060,Taylor and Francis Group,/scimag/journals/1060,/scimag/?journal=1060&page=1,68,/scimag/?journal=1060&year=2017&volume=45&issue=1,/scimag/?journal=1060&year=2018&volume=46&issue=1,/scimag/?journal=1060&year=2019&volume=47&issue=1,/scimag/?journal=1060&year=2020&volume=48&issue=1,
American Journal of Psychiatric Rehabilitation,1123,Taylor and Francis Group,/scimag/journals/1123,/scimag/?journal=1123&page=1,13,/scimag/?journal=1123&year=2017&volume=20&issue=1,,,,
American Nineteenth Century History,1161,Taylor and Francis Group,/scimag/journals/1161,/scimag/?journal=1161&page=1,33,/scimag/?journal=1161&year=2017&volume=18&issue=1,/scimag/?journal=1161&year=2018&volume=19&issue=1,/scimag/?journal=1161&year=2019&volume=20&issue=1,/scimag/?journal=1161&year=2020&volume=21&issue=1,
Analytical Letters,1231,Taylor and Francis Group,/scimag/journals/1231,/scimag/?journal=1231&page=1,420,/scimag/?journal=1231&year=2017&volume=50&issue=2,/scimag/?journal=1231&year=2018&volume=51&issue=9,/scimag/?journal=1231&year=2019&volume=52&issue=2,/scimag/?journal=1231&year=2020&volume=53&issue=17,
Anatolia,1241,Taylor and Francis Group,/scimag/journals/1241,/scimag/?journal=1241&page=1,41,/scimag/?journal=1241&year=2017&volume=28&issue=1,/scimag/?journal=1241&year=2018&volume=29&issue=1,/scimag/?journal=1241&year=2019&volume=30&issue=1,/scimag/?journal=1241&year=2020&volume=31&issue=1,
Ancient Biomolecules,1254,Taylor and Francis Group,/scimag/journals/1254,/scimag/?journal=1254&page=1,1,,,,,
Angelaki,1273,Taylor and Francis Group,/scimag/journals/1273,/scimag/?journal=1273&page=1,54,/scimag/?journal=1273&year=2017&volume=22&issue=1,/scimag/?journal=1273&year=2018&volume=23&issue=1,/scimag/?journal=1273&year=2019&volume=24&issue=1,/scimag/?journal=1273&year=2020&volume=25&issue=1-2,
Animal Biotechnology,1288,Taylor and Francis Group,/scimag/journals/1288,/scimag/?journal=1288&page=1,41,/scimag/?journal=1288&year=2017&volume=28&issue=2,/scimag/?journal=1288&year=2018&volume=29&issue=4,/scimag/?journal=1288&year=2019&volume=30&issue=3,/scimag/?journal=1288&year=2020&volume=&issue=,
Animal Cells and Systems,1292,Taylor and Francis Group,/scimag/journals/1292,/scimag/?journal=1292&page=1,27,/scimag/?journal=1292&year=2017&volume=21&issue=1,/scimag/?journal=1292&year=2018&volume=22&issue=1,/scimag/?journal=1292&year=2019&volume=23&issue=1,/scimag/?journal=1292&year=2020&volume=24&issue=1,
Ankara Papers,1316,Taylor and Francis Group,/scimag/journals/1316,/scimag/?journal=1316&page=1,1,,,,,
Annals of GIS,1442,Taylor and Francis Group,/scimag/journals/1442,/scimag/?journal=1442&page=1,21,/scimag/?journal=1442&year=2017&volume=23&issue=1,/scimag/?journal=1442&year=2018&volume=24&issue=1,/scimag/?journal=1442&year=2019&volume=25&issue=1,/scimag/?journal=1442&year=2020&volume=26&issue=1,
Annals of Science,1486,Taylor and Francis Group,/scimag/journals/1486,/scimag/?journal=1486&page=1,99,/scimag/?journal=1486&year=2017&volume=74&issue=1,/scimag/?journal=1486&year=2018&volume=75&issue=2,/scimag/?journal=1486&year=2019&volume=76&issue=1,/scimag/?journal=1486&year=2020&volume=77&issue=1,
Annals of the Association of American Geographers,1496,Taylor and Francis Group,/scimag/journals/1496,/scimag/?journal=1496&page=1,386,,,,,
Anthropological Forum,1601,Taylor and Francis Group,/scimag/journals/1601,/scimag/?journal=1601&page=1,38,/scimag/?journal=1601&year=2017&volume=27&issue=2,/scimag/?journal=1601&year=2018&volume=28&issue=1,/scimag/?journal=1601&year=2019&volume=29&issue=1,/scimag/?journal=1601&year=2020&volume=30&issue=3,
Anthropology & Medicine,1618,Taylor and Francis Group,/scimag/journals/1618,/scimag/?journal=1618&page=1,28,/scimag/?journal=1618&year=2017&volume=24&issue=1,/scimag/?journal=1618&year=2018&volume=25&issue=1,/scimag/?journal=1618&year=2019&volume=26&issue=1,/scimag/?journal=1618&year=2020&volume=27&issue=2,/scimag/?journal=1618&year=2021&volume=&issue=
Anxiety Stress & Coping,1664,Taylor and Francis Group,/scimag/journals/1664,/scimag/?journal=1664&page=1,42,/scimag/?journal=1664&year=2017&volume=30&issue=3,/scimag/?journal=1664&year=2018&volume=31&issue=4,/scimag/?journal=1664&year=2019&volume=32&issue=1,/scimag/?journal=1664&year=2020&volume=&issue=,
Aphasiology,1675,Taylor and Francis Group,/scimag/journals/1675,/scimag/?journal=1675&page=1,108,/scimag/?journal=1675&year=2017&volume=31&issue=4,/scimag/?journal=1675&year=2018&volume=32&issue=sup1,/scimag/?journal=1675&year=2019&volume=33&issue=2,/scimag/?journal=1675&year=2020&volume=34&issue=3,
Applicable Analysis,1685,Taylor and Francis Group,/scimag/journals/1685,/scimag/?journal=1685&page=1,191,/scimag/?journal=1685&year=2017&volume=96&issue=1,/scimag/?journal=1685&year=2018&volume=97&issue=1,/scimag/?journal=1685&year=2019&volume=98&issue=1-2,/scimag/?journal=1685&year=2020&volume=&issue=,
Applied Artificial Intelligence,1698,Taylor and Francis Group,/scimag/journals/1698,/scimag/?journal=1698&page=1,54,/scimag/?journal=1698&year=2017&volume=31&issue=5-6,/scimag/?journal=1698&year=2018&volume=32&issue=1,/scimag/?journal=1698&year=2019&volume=33&issue=3,/scimag/?journal=1698&year=2020&volume=34&issue=2,/scimag/?journal=1698&year=2021&volume=35&issue=1
Applied Developmental Science,1714,Taylor and Francis Group,/scimag/journals/1714,/scimag/?journal=1714&page=1,24,/scimag/?journal=1714&year=2017&volume=21&issue=2,/scimag/?journal=1714&year=2018&volume=22&issue=4,/scimag/?journal=1714&year=2019&volume=23&issue=4,/scimag/?journal=1714&year=2020&volume=24&issue=1,
Applied Economics,1717,Taylor and Francis Group,/scimag/journals/1717,/scimag/?journal=1717&page=1,378,/scimag/?journal=1717&year=2017&volume=49&issue=1,/scimag/?journal=1717&year=2018&volume=50&issue=2,/scimag/?journal=1717&year=2019&volume=51&issue=1,/scimag/?journal=1717&year=2020&volume=52&issue=13,/scimag/?journal=1717&year=2021&volume=53&issue=4
Applied Economics Letters,1718,Taylor and Francis Group,/scimag/journals/1718,/scimag/?journal=1718&page=1,268,/scimag/?journal=1718&year=2017&volume=24&issue=1,/scimag/?journal=1718&year=2018&volume=25&issue=10,/scimag/?journal=1718&year=2019&volume=26&issue=1,/scimag/?journal=1718&year=2020&volume=27&issue=1,/scimag/?journal=1718&year=2021&volume=&issue=
Applied Environmental Education & Communication,1722,Taylor and Francis Group,/scimag/journals/1722,/scimag/?journal=1722&page=1,25,/scimag/?journal=1722&year=2017&volume=16&issue=1,/scimag/?journal=1722&year=2018&volume=17&issue=1,/scimag/?journal=1722&year=2019&volume=18&issue=1,/scimag/?journal=1722&year=2020&volume=19&issue=1,
Applied Financial Economics,1724,Taylor and Francis Group,/scimag/journals/1724,/scimag/?journal=1724&page=1,92,,,,,
Applied Financial Economics Letters,1725,Taylor and Francis Group,/scimag/journals/1725,/scimag/?journal=1725&page=1,12,,,,,
Applied Mathematical Finance,1741,Taylor and Francis Group,/scimag/journals/1741,/scimag/?journal=1741&page=1,20,/scimag/?journal=1741&year=2017&volume=24&issue=1,/scimag/?journal=1741&year=2018&volume=25&issue=2,/scimag/?journal=1741&year=2019&volume=26&issue=2,/scimag/?journal=1741&year=2020&volume=27&issue=3,
Applied Measurement in Education,1750,Taylor and Francis Group,/scimag/journals/1750,/scimag/?journal=1750&page=1,30,/scimag/?journal=1750&year=2017&volume=30&issue=1,/scimag/?journal=1750&year=2018&volume=31&issue=1,/scimag/?journal=1750&year=2019&volume=32&issue=1,/scimag/?journal=1750&year=2020&volume=33&issue=1,
Applied Neuropsychology,1756,Taylor and Francis Group,/scimag/journals/1756,/scimag/?journal=1756&page=1,28,,,,,
Applied Occupational and Enviromental Hygiene,1761,Taylor and Francis Group,/scimag/journals/1761,/scimag/?journal=1761&page=1,108,,,,,
Applied Spectroscopy Reviews,1793,Taylor and Francis Group,/scimag/journals/1793,/scimag/?journal=1793&page=1,35,/scimag/?journal=1793&year=2017&volume=&issue=,/scimag/?journal=1793&year=2018&volume=&issue=,/scimag/?journal=1793&year=2019&volume=54&issue=3,/scimag/?journal=1793&year=2020&volume=&issue=,
Aquaculture Economics & Management,1815,Taylor and Francis Group,/scimag/journals/1815,/scimag/?journal=1815&page=1,22,/scimag/?journal=1815&year=2017&volume=21&issue=1,/scimag/?journal=1815&year=2018&volume=22&issue=2,/scimag/?journal=1815&year=2019&volume=23&issue=2,/scimag/?journal=1815&year=2020&volume=&issue=,
Aquatic Ecosystem Health and Management,1826,Taylor and Francis Group,/scimag/journals/1826,/scimag/?journal=1826&page=1,44,/scimag/?journal=1826&year=2017&volume=20&issue=1-2,/scimag/?journal=1826&year=2018&volume=21&issue=1,/scimag/?journal=1826&year=2019&volume=22&issue=1,/scimag/?journal=1826&year=2020&volume=23&issue=1,
Aquatic Insects,1828,Taylor and Francis Group,/scimag/journals/1828,/scimag/?journal=1828&page=1,57,/scimag/?journal=1828&year=2017&volume=38&issue=1-2,/scimag/?journal=1828&year=2018&volume=39&issue=1,/scimag/?journal=1828&year=2019&volume=40&issue=1,/scimag/?journal=1828&year=2020&volume=41&issue=1,
Arabic & Middle Eastern Literature,1846,Taylor and Francis Group,/scimag/journals/1846,/scimag/?journal=1846&page=1,4,,,,,
Architectural Theory Review,1883,Taylor and Francis Group,/scimag/journals/1883,/scimag/?journal=1883&page=1,27,/scimag/?journal=1883&year=2017&volume=21&issue=1,/scimag/?journal=1883&year=2018&volume=22&issue=1,/scimag/?journal=1883&year=2019&volume=23&issue=1,/scimag/?journal=1883&year=2020&volume=24&issue=2,
Archiv für Tierernaehrung,1905,Taylor and Francis Group,/scimag/journals/1905,/scimag/?journal=1905&page=1,133,,,,,
Archives of Agronomy and Soil Science,1941,Taylor and Francis Group,/scimag/journals/1941,/scimag/?journal=1941&page=1,134,/scimag/?journal=1941&year=2017&volume=63&issue=4,/scimag/?journal=1941&year=2018&volume=64&issue=5,/scimag/?journal=1941&year=2019&volume=65&issue=3,/scimag/?journal=1941&year=2020&volume=&issue=,
Archives of Andrology,1942,Taylor and Francis Group,/scimag/journals/1942,/scimag/?journal=1942&page=1,1,,,,,
Archives of Animal Nutrition,1943,Taylor and Francis Group,/scimag/journals/1943,/scimag/?journal=1943&page=1,28,/scimag/?journal=1943&year=2017&volume=71&issue=1,/scimag/?journal=1943&year=2018&volume=72&issue=1,/scimag/?journal=1943&year=2019&volume=73&issue=1,/scimag/?journal=1943&year=2020&volume=74&issue=5,
Archives of Environmental & Occupational Health,1963,Taylor and Francis Group,/scimag/journals/1963,/scimag/?journal=1963&page=1,32,/scimag/?journal=1963&year=2017&volume=72&issue=1,/scimag/?journal=1963&year=2018&volume=73&issue=2,/scimag/?journal=1963&year=2019&volume=74&issue=1-2,/scimag/?journal=1963&year=2020&volume=75&issue=8,
Archives of Environmental Health An International Journal,1965,Taylor and Francis Group,/scimag/journals/1965,/scimag/?journal=1965&page=1,247,,,,,
Archives of Nature Conservation & Landscape Research,1984,Taylor and Francis Group,/scimag/journals/1984,/scimag/?journal=1984&page=1,1,,,,,
Archives of Phytopathology and Plant Protection,1998,Taylor and Francis Group,/scimag/journals/1998,/scimag/?journal=1998&page=1,156,/scimag/?journal=1998&year=2017&volume=50&issue=1-2,/scimag/?journal=1998&year=2018&volume=51&issue=1-2,/scimag/?journal=1998&year=2019&volume=52&issue=1-2,/scimag/?journal=1998&year=2020&volume=53&issue=3-4,
Archives of Suicide Research,2004,Taylor and Francis Group,/scimag/journals/2004,/scimag/?journal=2004&page=1,46,/scimag/?journal=2004&year=2017&volume=21&issue=4,/scimag/?journal=2004&year=2018&volume=&issue=,/scimag/?journal=2004&year=2019&volume=23&issue=1,/scimag/?journal=2004&year=2020&volume=&issue=,
Argument & Computation,2036,Taylor and Francis Group,/scimag/journals/2036,/scimag/?journal=2036&page=1,6,/scimag/?journal=2036&year=2017&volume=8&issue=1,/scimag/?journal=2036&year=2018&volume=9&issue=1,/scimag/?journal=2036&year=2019&volume=10&issue=2,/scimag/?journal=2036&year=2020&volume=10&issue=3,
Arid Land Research and Management,2041,Taylor and Francis Group,/scimag/journals/2041,/scimag/?journal=2041&page=1,46,/scimag/?journal=2041&year=2017&volume=31&issue=1,/scimag/?journal=2041&year=2018&volume=32&issue=2,/scimag/?journal=2041&year=2019&volume=33&issue=1,/scimag/?journal=2041&year=2020&volume=&issue=,
Arms Control,2051,Taylor and Francis Group,/scimag/journals/2051,/scimag/?journal=2051&page=1,15,,,,,
Art Therapy,2077,Taylor and Francis Group,/scimag/journals/2077,/scimag/?journal=2077&page=1,64,/scimag/?journal=2077&year=2017&volume=34&issue=1,/scimag/?journal=2077&year=2018&volume=35&issue=1,/scimag/?journal=2077&year=2019&volume=36&issue=1,/scimag/?journal=2077&year=2020&volume=37&issue=1,
Artifact,2099,Taylor and Francis Group,/scimag/journals/2099,/scimag/?journal=2099&page=1,3,/scimag/?journal=2099&year=2017&volume=4&issue=1,/scimag/?journal=2099&year=2018&volume=5&issue=1,/scimag/?journal=2099&year=2019&volume=6&issue=1,,
Arts & Health,2113,Taylor and Francis Group,/scimag/journals/2113,/scimag/?journal=2113&page=1,12,/scimag/?journal=2113&year=2017&volume=9&issue=1,/scimag/?journal=2113&year=2018&volume=10&issue=2,/scimag/?journal=2113&year=2019&volume=11&issue=2,/scimag/?journal=2113&year=2020&volume=&issue=,
Arts Education Policy Review,2116,Taylor and Francis Group,/scimag/journals/2116,/scimag/?journal=2116&page=1,36,/scimag/?journal=2116&year=2017&volume=118&issue=1,/scimag/?journal=2116&year=2018&volume=&issue=,/scimag/?journal=2116&year=2019&volume=120&issue=3,/scimag/?journal=2116&year=2020&volume=121&issue=1,
Asia Pacific Business Review,2134,Taylor and Francis Group,/scimag/journals/2134,/scimag/?journal=2134&page=1,54,/scimag/?journal=2134&year=2017&volume=23&issue=1,/scimag/?journal=2134&year=2018&volume=24&issue=2,/scimag/?journal=2134&year=2019&volume=25&issue=1,/scimag/?journal=2134&year=2020&volume=26&issue=1,/scimag/?journal=2134&year=2021&volume=27&issue=1
